,coefficient
mom_5,0.06082640313918709
finbert_change_shifted,0.04639357273242843
vader_mean_shifted,0.04471220535246771
finbert_mean_shifted,0.01359767028737616
ma_5,-0.0014666925750778785
ma_10,-0.008144120495000587
RSI_14,-0.03243505764027791
vol_5,-0.06765969664072498
vader_change_shifted,-0.08985791533044285
ret_1d,-0.15990167824265775
