,coefficient
finbert_change_shifted,0.06688705228762616
mom_5,0.06033361272730339
finbert_mean_shifted,0.004496775332000288
ma_5,0.00040326985408394895
ma_10,-0.004869502044351938
RSI_14,-0.030866259387359724
vol_5,-0.06495981167607859
ret_1d,-0.1611531903366344
