,coefficient
mom_5,0.05927077800217039
ma_5,0.001542622162002091
ma_10,-0.0043965615249904905
vader_mean_shifted,-0.02602203052310315
RSI_14,-0.03207506447044225
vol_5,-0.06540309274894691
ret_1d,-0.15991110402374875
