Price,adjclose,close,high,low,open,volume
Ticker,CBA.AX,CBA.AX,CBA.AX,CBA.AX,CBA.AX,CBA.AX
Date,,,,,,
1991-09-30,1.073698878288269,6.786620140075684,6.786620140075684,6.786620140075684,6.786620140075684,0
1991-10-01,1.073698878288269,6.786620140075684,6.786620140075684,6.786620140075684,6.786620140075684,0
1991-10-02,1.073698878288269,6.786620140075684,6.786620140075684,6.786620140075684,6.786620140075684,0
1991-10-03,1.073698878288269,6.786620140075684,6.786620140075684,6.786620140075684,6.786620140075684,0
1991-10-04,1.073698878288269,6.786620140075684,6.786620140075684,6.786620140075684,6.786620140075684,0
1991-10-07,1.073698878288269,6.786620140075684,6.786620140075684,6.786620140075684,6.786620140075684,0
1991-10-08,1.073698878288269,6.786620140075684,6.786620140075684,6.786620140075684,6.786620140075684,0
1991-10-09,1.073698878288269,6.786620140075684,6.786620140075684,6.786620140075684,6.786620140075684,0
1991-10-10,1.073698878288269,6.786620140075684,6.786620140075684,6.786620140075684,6.786620140075684,0
1991-10-11,1.073698878288269,6.786620140075684,6.786620140075684,6.786620140075684,6.786620140075684,0
1991-10-14,1.073698878288269,6.786620140075684,6.786620140075684,6.786620140075684,6.786620140075684,0
1991-10-15,1.073698878288269,6.786620140075684,6.786620140075684,6.786620140075684,6.786620140075684,0
1991-10-16,1.073698878288269,6.786620140075684,6.786620140075684,6.786620140075684,6.786620140075684,0
1991-10-17,1.073698878288269,6.786620140075684,6.786620140075684,6.786620140075684,6.786620140075684,0
1991-10-18,1.073698878288269,6.786620140075684,6.786620140075684,6.786620140075684,6.786620140075684,0
1991-10-21,1.073698878288269,6.786620140075684,6.786620140075684,6.786620140075684,6.786620140075684,0
1991-10-22,1.073698878288269,6.786620140075684,6.786620140075684,6.786620140075684,6.786620140075684,0
1991-10-23,1.073698878288269,6.786620140075684,6.786620140075684,6.786620140075684,6.786620140075684,0
1991-10-24,1.073698878288269,6.786620140075684,6.786620140075684,6.786620140075684,6.786620140075684,0
1991-10-25,1.073698878288269,6.786620140075684,6.786620140075684,6.786620140075684,6.786620140075684,0
1991-10-28,1.073698878288269,6.786620140075684,6.786620140075684,6.786620140075684,6.786620140075684,0
1991-10-29,1.073698878288269,6.786620140075684,6.786620140075684,6.786620140075684,6.786620140075684,0
1991-10-30,1.073698878288269,6.786620140075684,6.786620140075684,6.786620140075684,6.786620140075684,0
1991-10-31,1.1877202987670898,7.507322788238525,7.507322788238525,7.507322788238525,7.507322788238525,0
1991-11-01,1.1877202987670898,7.507322788238525,7.507322788238525,7.507322788238525,7.507322788238525,0
1991-11-04,1.1877202987670898,7.507322788238525,7.507322788238525,7.507322788238525,7.507322788238525,0
1991-11-05,1.1877202987670898,7.507322788238525,7.507322788238525,7.507322788238525,7.507322788238525,0
1991-11-06,1.1877202987670898,7.507322788238525,7.507322788238525,7.507322788238525,7.507322788238525,0
1991-11-07,1.1877202987670898,7.507322788238525,7.507322788238525,7.507322788238525,7.507322788238525,0
1991-11-08,1.1877202987670898,7.507322788238525,7.507322788238525,7.507322788238525,7.507322788238525,0
1991-11-11,1.1877202987670898,7.507322788238525,7.507322788238525,7.507322788238525,7.507322788238525,0
1991-11-12,1.1877202987670898,7.507322788238525,7.507322788238525,7.507322788238525,7.507322788238525,0
1991-11-13,1.1877202987670898,7.507322788238525,7.507322788238525,7.507322788238525,7.507322788238525,0
1991-11-14,1.1877202987670898,7.507322788238525,7.507322788238525,7.507322788238525,7.507322788238525,0
1991-11-15,1.1877202987670898,7.507322788238525,7.507322788238525,7.507322788238525,7.507322788238525,0
1991-11-18,1.1877202987670898,7.507322788238525,7.507322788238525,7.507322788238525,7.507322788238525,0
1991-11-19,1.1877202987670898,7.507322788238525,7.507322788238525,7.507322788238525,7.507322788238525,0
1991-11-20,1.1877202987670898,7.507322788238525,7.507322788238525,7.507322788238525,7.507322788238525,0
1991-11-21,1.1877202987670898,7.507322788238525,7.507322788238525,7.507322788238525,7.507322788238525,0
1991-11-22,1.1877202987670898,7.507322788238525,7.507322788238525,7.507322788238525,7.507322788238525,0
1991-11-25,1.1877202987670898,7.507322788238525,7.507322788238525,7.507322788238525,7.507322788238525,0
1991-11-26,1.1877202987670898,7.507322788238525,7.507322788238525,7.507322788238525,7.507322788238525,0
1991-11-27,1.1877202987670898,7.507322788238525,7.507322788238525,7.507322788238525,7.507322788238525,0
1991-11-28,1.1877202987670898,7.507322788238525,7.507322788238525,7.507322788238525,7.507322788238525,0
1991-11-29,1.1718838214874268,7.407225131988525,7.407225131988525,7.407225131988525,7.407225131988525,0
1991-12-02,1.1718838214874268,7.407225131988525,7.407225131988525,7.407225131988525,7.407225131988525,0
1991-12-03,1.1718838214874268,7.407225131988525,7.407225131988525,7.407225131988525,7.407225131988525,0
1991-12-04,1.1718838214874268,7.407225131988525,7.407225131988525,7.407225131988525,7.407225131988525,0
1991-12-05,1.1718838214874268,7.407225131988525,7.407225131988525,7.407225131988525,7.407225131988525,0
1991-12-06,1.1718838214874268,7.407225131988525,7.407225131988525,7.407225131988525,7.407225131988525,0
1991-12-09,1.1718838214874268,7.407225131988525,7.407225131988525,7.407225131988525,7.407225131988525,0
1991-12-10,1.1718838214874268,7.407225131988525,7.407225131988525,7.407225131988525,7.407225131988525,0
1991-12-11,1.1718838214874268,7.407225131988525,7.407225131988525,7.407225131988525,7.407225131988525,0
1991-12-12,1.1718838214874268,7.407225131988525,7.407225131988525,7.407225131988525,7.407225131988525,0
1991-12-13,1.1718838214874268,7.407225131988525,7.407225131988525,7.407225131988525,7.407225131988525,0
1991-12-16,1.1718838214874268,7.407225131988525,7.407225131988525,7.407225131988525,7.407225131988525,0
1991-12-17,1.1718838214874268,7.407225131988525,7.407225131988525,7.407225131988525,7.407225131988525,0
1991-12-18,1.1718838214874268,7.407225131988525,7.407225131988525,7.407225131988525,7.407225131988525,0
1991-12-19,1.1718838214874268,7.407225131988525,7.407225131988525,7.407225131988525,7.407225131988525,0
1991-12-20,1.1718838214874268,7.407225131988525,7.407225131988525,7.407225131988525,7.407225131988525,0
