date,adjclose,vader_mean,finbert_mean,ret_1d,ma_5,ma_10,mom_5,vol_5,RSI_14,vader_change,finbert_change,vader_mean_shifted,finbert_mean_shifted,vader_change_shifted,finbert_change_shifted,ret_next_1d,target
2008-08-27,11502.509766,-0.233156,-0.64032227,0.00785425997851985,11471.9798828,11488.1098634,0.007451771574246813,0.014037635885482335,41.56002358081837,0.09564399999999998,-0.17988036999999996,-0.3288,-0.4604419,0.099572,0.30240964,0.01848900164628664,1
2008-08-28,11715.179688,-0.064008,-0.65692115,0.01848900164628664,11528.9738282,11498.0348634,0.02493127667578454,0.01592246398146537,49.3965599302031,0.16914800000000002,-0.016598879999999983,-0.233156,-0.64032227,0.09564399999999998,-0.17988036999999996,-0.01461520280183004,0
2008-08-29,11543.959961,-0.0960639999999999,-0.33569336,-0.01461520280183004,11512.1539064,11486.4408204,-0.0072324714621322395,0.016170902013511824,43.02607349459031,-0.032055999999999904,0.32122778999999996,-0.064008,-0.65692115,0.16914800000000002,-0.016598879999999983,-0.002342353844898337,0
2008-09-02,11516.919922,-0.264656,-0.42131835,-0.002342353844898337,11538.287890800002,11490.1938478,0.01147611566582496,0.012253576514536318,46.06749820708803,-0.1685920000000001,-0.08562499000000001,-0.0960639999999999,-0.33569336,-0.032055999999999904,0.32122778999999996,0.001385783795328166,1
2008-09-03,11532.879883,-0.1570079999999999,-0.45895115,0.001385783795328166,11562.289843999999,11508.6268556,0.010515301126684973,0.012261104750471815,49.99733563534862,0.1076480000000001,-0.037632799999999966,-0.264656,-0.42131835,-0.1685920000000001,-0.08562499000000001,-0.029884072104837345,0
2008-09-04,11188.230469,-0.150332,-0.5931055,-0.029884072104837345,11499.4339846,11485.7069337,-0.027322671607632132,0.018100207119143303,37.88002562873999,0.006675999999999904,-0.13415434999999998,-0.1570079999999999,-0.45895115,0.1076480000000001,-0.037632799999999966,0.0029253501785369007,1
2008-09-05,11220.959961,-0.244196,-0.7514563,0.0029253501785369007,11400.5900392,11464.7819337,-0.0421862694522932,0.013791827409989073,37.48172284557883,-0.093864,-0.1583508,-0.150332,-0.5931055,0.006675999999999904,-0.13415434999999998,0.025824909277563757,1
2008-09-08,11510.740234,-0.332532,-0.6375,0.025824909277563757,11393.946093800001,11453.0500001,-0.002877671709901053,0.01984360386072556,50.841641033238794,-0.088336,0.11395630000000001,-0.244196,-0.7514563,-0.093864,-0.1583508,-0.02432595639443913,0
2008-09-09,11230.730469,-0.267764,-0.48885742,-0.02432595639443913,11336.7082032,11437.498047,-0.024849478414216475,0.022618038025641243,47.07155676314344,0.06476799999999999,0.14864257999999997,-0.332532,-0.6375,-0.088336,0.11395630000000001,0.0034004424828297797,1
2008-09-10,11268.919922,-0.304908,-0.5548535,0.0034004424828297797,11283.916211,11423.1030275,-0.02288760168126691,0.022773525003568135,46.251546704476,-0.03714400000000001,-0.06599608000000001,-0.267764,-0.48885742,0.06476799999999999,0.14864257999999997,0.014623410241676016,1
2008-09-11,11433.709961,-0.169724,-0.527101,0.014623410241676016,11333.0121094,11416.223047,0.021940868368788724,0.018653813041178736,50.08204572222442,0.135184,0.027752499999999958,-0.304908,-0.5548535,-0.03714400000000001,-0.06599608000000001,-0.0010250152435189452,0
2008-09-12,11421.990234,-0.182008,-0.60003906,-0.0010250152435189452,11373.218164,11386.904101600001,0.017915603807402203,0.01881955257473238,44.70755952289612,-0.01228399999999999,-0.07293805999999992,-0.169724,-0.527101,0.135184,0.027752499999999958,-0.044167474990331135,0
2008-09-15,10917.509766,-0.235164,-0.20154299,-0.044167474990331135,11254.572070400001,11324.259082100001,-0.05153712584423886,0.0236571191910987,39.39260808923114,-0.05315600000000001,0.39849607,-0.182008,-0.60003906,-0.01228399999999999,-0.07293805999999992,0.012961725524688772,1
2008-09-16,11059.019531,-0.337376,-0.3853711,0.012961725524688772,11220.2298828,11278.469043000001,-0.01528938286551984,0.02400449280028522,42.38830538224318,-0.102212,-0.18382811000000002,-0.235164,-0.20154299,-0.05315600000000001,0.39849607,-0.04063284034722803,0
2008-09-17,10609.660156,-0.25962,-0.41692382,-0.04063284034722803,11088.3779296,11186.1470703,-0.05850248032315364,0.02875026354321324,33.36784878006118,0.07775599999999999,-0.03155271999999998,-0.337376,-0.3853711,-0.102212,-0.18382811000000002,0.038646881047186055,1
2008-09-18,11019.69043,-0.325776,-0.56120116,0.038646881047186055,11005.5740234,11169.2930664,-0.036210427972390935,0.0354622162336994,37.93168424859276,-0.06615599999999999,-0.14427733999999998,-0.25962,-0.41692382,0.07775599999999999,-0.03155271999999998,0.0334628275034039,1
2008-09-19,11388.44043,-0.294332,-0.51516604,0.0334628275034039,10998.864062600001,11186.0411133,-0.0029372993070972964,0.03994723841646047,47.47451072187999,0.03144400000000003,0.046035119999999985,-0.325776,-0.56120116,-0.06615599999999999,-0.14427733999999998,-0.03273055711983908,0
2008-09-22,11015.69043,-0.26096,-0.35031238,-0.03273055711983908,11018.5001954,11136.5361329,0.008992954080587312,0.03700084467816176,42.682157265351435,0.03337199999999996,0.16485366,-0.294332,-0.51516604,0.03144400000000003,0.046035119999999985,-0.014662767533854981,0
2008-09-23,10854.169922,-0.183952,-0.32974946,-0.014662767533854981,10977.530273600001,11098.8800782,-0.018523306557672536,0.03708095656068318,40.4949732642703,0.07700800000000002,0.020562919999999985,-0.26096,-0.35031238,0.03337199999999996,0.16485366,-0.0026717842274811554,0
2008-09-24,10825.169922,-0.29406,-0.2632617,-0.0026717842274811554,11020.6322268,11054.5050782,0.020312598408547933,0.030860872947658567,44.42238044615641,-0.11010799999999998,0.06648776,-0.183952,-0.32974946,0.07700800000000002,0.020562919999999985,0.01818813463610036,1
2008-09-25,11022.05957,-0.2334959999999999,-0.40166992,0.01818813463610036,11021.1060548,11013.3400391,0.0002149915204106012,0.026189170624693444,47.09106125553506,0.06056400000000009,-0.13840822000000003,-0.29406,-0.2632617,-0.11010799999999998,0.06648776,0.010984363877830194,1
2008-09-26,11143.129883,-0.238132,-0.6682405,0.010984363877830194,10972.043945399999,10985.454004000001,-0.021540310853608302,0.02035674832724477,44.34457679039022,-0.004636000000000112,-0.26657058,-0.2334959999999999,-0.40166992,0.06056400000000009,-0.13840822000000003,-0.06979005864289811,0
2008-09-29,10365.450195,-0.114084,-0.48930064,-0.06979005864289811,10841.9958984,10930.2480469,-0.05902855015144082,0.034901871385792066,38.455970193858136,0.124048,0.17893986,-0.238132,-0.6682405,-0.004636000000000112,-0.26657058,0.04681031232334232,1
2008-09-30,10850.660156,-0.152144,-0.4335816,0.04681031232334232,10841.2939452,10909.4121094,-0.0003233564634809172,0.043353146092304944,45.0144967848917,-0.03806,0.05571904,-0.114084,-0.48930064,0.124048,0.17893986,-0.0018054057281636782,0
2008-10-01,10831.070312,-0.22376,-0.4167469,-0.0018054057281636782,10842.4740232,10931.553125,0.0005450621138065603,0.04333800827382898,42.55919516142364,-0.07161599999999999,0.016834700000000036,-0.152144,-0.4335816,-0.03806,0.05571904,-0.03215016549326588,0
2008-10-02,10482.849609,-0.154596,-0.6727989,-0.03215016549326588,10734.632031,10877.8690429,-0.04892098047334348,0.04415061856182078,39.29403031562849,0.06916399999999998,-0.256052,-0.22376,-0.4167469,-0.07161599999999999,0.016834700000000036,-0.015021652687338571,0
2008-10-03,10325.379883,-0.17266,-0.59579104,-0.015021652687338571,10571.082031000002,10771.5629882,-0.07338602426662566,0.042687349393136155,42.669935856361654,-0.018063999999999997,0.07700785999999993,-0.154596,-0.6727989,0.06916399999999998,-0.256052,-0.03582239948468924,0
2008-10-06,9955.5,-0.087596,-0.2708059,-0.03582239948468924,10489.091992000001,10665.5439452,-0.03954967582572999,0.03334799384550673,37.07041314293458,0.08506400000000001,0.32498514000000006,-0.17266,-0.59579104,-0.018063999999999997,0.07700785999999993,-0.051066209431972265,0
2008-10-07,9447.110352,-0.248252,-0.24534369,-0.051066209431972265,10208.382031199999,10524.837988199999,-0.1293515586905457,0.01911569921077891,36.56462282779968,-0.16065600000000002,0.025462209999999985,-0.087596,-0.2708059,0.08506400000000001,0.32498514000000006,-0.0200072547009027,0
2008-10-08,9258.099609,-0.333072,-0.5703125,-0.0200072547009027,9893.7878906,10368.130956899999,-0.14522763288289875,0.014170439010741427,28.54560258418104,-0.08481999999999998,-0.32496881,-0.248252,-0.24534369,-0.16065600000000002,0.025462209999999985,-0.0733313755168521,0
2008-10-09,8579.19043,-0.265152,-0.48012695,-0.0733313755168521,9513.0560548,10123.8440429,-0.1815974901867926,0.023822295357424333,18.189414107185826,0.06791999999999998,0.09018555,-0.333072,-0.5703125,-0.08481999999999998,-0.32496881,-0.01491982268541392,0
2008-10-10,8451.19043,-0.1857039999999999,-0.23060547,-0.01491982268541392,9138.218164200001,9854.650097599999,-0.18151288129221455,0.02384800247417354,19.25679124686141,0.0794480000000001,0.24952148,-0.265152,-0.48012695,0.06791999999999998,0.09018555,0.11080331578802194,1
2008-10-13,9387.610352,-0.0823039999999999,-0.17576976,0.11080331578802194,9024.640234600001,9756.8661133,-0.05704280528351169,0.07143992284788248,35.17350497574493,0.10339999999999999,0.05483571000000001,-0.1857039999999999,-0.23060547,0.0794480000000001,0.24952148,-0.008161834069271401,0
2008-10-14,9310.990234,-0.222028,-0.47694337,-0.008161834069271401,8997.416211,9602.8991211,-0.014408651209539602,0.06770905079227163,34.838066179677284,-0.1397240000000001,-0.30117361,-0.0823039999999999,-0.17576976,0.10339999999999999,0.05483571000000001,-0.07873277273163559,0
2008-10-15,8577.910156,-0.18078,-0.70279294,-0.07873277273163559,8861.378320400001,9377.5831055,-0.07346966242821296,0.0763461531242459,27.89920066053203,0.04124800000000001,-0.22584957000000006,-0.222028,-0.47694337,-0.1397240000000001,-0.30117361,0.04678874022937474,1
2008-10-16,8979.259766,-0.09992,-0.51941407,0.04678874022937474,8941.3921876,9227.2241212,0.04663252777336924,0.07129585966929265,31.377506303217658,0.08086,0.18337887000000008,-0.18078,-0.70279294,0.04124800000000001,-0.22584957000000006,-0.014148163914472933,0
2008-10-17,8852.219727,-0.263564,-0.63914925,-0.014148163914472933,9021.598047,9079.908105600001,0.047452403341478044,0.07122610519987517,35.33461039285183,-0.163644,-0.11973518000000005,-0.09992,-0.51941407,0.08086,0.18337887000000008,0.046678683284337774,1
2008-10-20,9265.429688,-0.097376,-0.8230176,0.046678683284337774,8997.161914200002,9010.9010744,-0.013015097497519057,0.05201500766101731,34.41938832498609,0.166188,-0.18386835,-0.263564,-0.63914925,-0.163644,-0.11973518000000005,-0.025014439675709155,0
2008-10-21,9033.660156,-0.15858,-0.5137012,-0.025014439675709155,8941.695898599999,8969.556054800001,-0.02978523991866111,0.05308832957012372,33.04128182206938,-0.061203999999999995,0.30931640000000005,-0.097376,-0.8230176,0.166188,-0.18386835,-0.056948145725662536,0
2008-10-22,8519.209961,-0.159628,-0.42593506,-0.056948145725662536,8929.9558596,8895.667089999999,-0.006843181373138996,0.045922958003551895,32.03637168136777,-0.0010479999999999934,0.08776613999999999,-0.15858,-0.5137012,-0.061203999999999995,0.30931640000000005,0.020194365415053817,1
2008-10-23,8691.25,-0.1828599999999999,-0.38585937,0.020194365415053817,8872.3539064,8906.873047000001,-0.032075001002927817,0.04026390218371958,35.09051546764293,-0.02323199999999992,0.04007569,-0.159628,-0.42593506,-0.0010479999999999934,0.08776613999999999,-0.03593266848842236,0
2008-10-24,8378.950195,-0.270536,0.14065963,-0.03593266848842236,8777.7,8899.6490235,-0.05346337377465782,0.04250302619154835,35.46312616458107,-0.08767600000000009,0.526519,-0.1828599999999999,-0.38585937,-0.02323199999999992,0.04007569,-0.024248882052222198,0
2008-10-27,8175.77002,-0.233564,-0.3879346,-0.024248882052222198,8559.7680664,8778.464990299999,-0.11760487151624044,0.028202134349918438,37.57820914163855,0.036972000000000005,-0.52859423,-0.270536,0.14065963,-0.08767600000000009,0.526519,0.10877875659716763,1
2008-10-28,9065.120117,-0.2521359999999999,-0.41436577,0.10877875659716763,8566.0600586,8753.8779786,0.0034825265127009786,0.06583090684043383,48.341450486928395,-0.018571999999999922,-0.026431170000000004,-0.233564,-0.3879346,0.036972000000000005,-0.52859423,-0.008180824417420074,0
2008-10-29,8990.959961,-0.212204,-0.38844725,-0.008180824417420074,8660.4100586,8795.1829591,0.05537485308609824,0.05799135406092892,53.94947172690536,0.03993199999999991,0.02591852,-0.2521359999999999,-0.41436577,-0.018571999999999922,-0.026431170000000004,0.021102359461391496,1
2008-10-30,9180.69043,-0.336888,-0.3739563,0.021102359461391496,8758.298144600001,8815.3260255,0.05631415849273691,0.05802436383532306,56.91508496116241,-0.12468400000000002,0.014490950000000002,-0.212204,-0.38844725,0.03993199999999991,0.02591852,0.0157198782706367,1
2008-10-31,9325.009766,-0.182564,-0.5275879,0.0157198782706367,8947.5100588,8862.6050294,0.11290908156543833,0.05152336393394871,49.30173792613166,0.15432400000000002,-0.15363159999999998,-0.336888,-0.3739563,-0.12468400000000002,0.014490950000000002,-0.0005554619383760784,0
2008-11-03,9319.830078,-0.296792,-0.7263867,-0.0005554619383760784,9176.322070400001,8868.0450684,0.13993300388848273,0.04702681895177502,50.10019865118539,-0.114228,-0.19879880000000005,-0.182564,-0.5275879,0.15432400000000002,-0.15363159999999998,0.0327742236117623,1
2008-11-04,9625.280273,-0.11514,-0.64104545,0.0327742236117623,9288.3541016,8927.2070801,0.06179291049321245,0.016530397206623602,63.14625849229698,0.18165199999999998,0.08534125000000004,-0.296792,-0.7263867,-0.114228,-0.19879880000000005,-0.05049315222158424,0
2008-11-05,9139.269531,-0.123704,-0.5404297,-0.05049315222158424,9318.0160156,8989.2130371,0.016495409905429526,0.03258694644041281,51.966596301138885,-0.008563999999999988,0.10061575,-0.11514,-0.64104545,0.18165199999999998,0.08534125000000004,-0.048524610254215284,0
2008-11-06,8695.790039,-0.23124,-0.16912109,-0.048524610254215284,9221.0359374,8989.667041,-0.05281742094423292,0.03776226196229095,48.21615857883258,-0.107536,0.37130861000000004,-0.123704,-0.5404297,-0.008563999999999988,0.10061575,0.028521793866646883,1
2008-11-07,8943.80957,-0.228072,-0.57356447,0.028521793866646883,9144.795898200002,9046.152978499998,-0.04087933477452188,0.040308554625926356,46.188828852046285,0.003168000000000004,-0.40444338,-0.23124,-0.16912109,-0.107536,0.37130861000000004,-0.008192206064602026,0
2008-11-10,8870.540039,-0.271436,-0.85615236,-0.008192206064602026,9054.9378904,9115.6299804,-0.04820796465598409,0.04011649517374731,47.99159629233289,-0.043364000000000014,-0.28258788999999995,-0.228072,-0.57356447,0.003168000000000004,-0.40444338,-0.01990635037141497,0
2008-11-11,8693.959961,-0.3053,-0.6741211,-0.01990635037141497,8868.673827999999,9078.5139648,-0.0967577343812479,0.032545690569202056,52.34685395735367,-0.033864000000000005,0.18203125999999992,-0.271436,-0.85615236,-0.043364000000000014,-0.28258788999999995,-0.047308684057096984,0
2008-11-12,8282.660156,-0.372192,-0.39616212,-0.047308684057096984,8697.351953000001,9007.6839843,-0.09372842896190103,0.03181588183371884,44.84406981742127,-0.06689200000000001,0.27795898,-0.3053,-0.6741211,-0.033864000000000005,0.18203125999999992,0.06671646953904076,1
2008-11-13,8835.25,-0.185352,-0.5967171,0.06671646953904076,8725.2439452,8973.1399413,0.016037641246457568,0.04440555357075877,55.428755139450686,0.18684000000000003,-0.20055498,-0.372192,-0.39616212,-0.06689200000000001,0.27795898,-0.0382491078350925,0
2008-11-14,8497.30957,-0.1210119999999999,-0.46474448,-0.0382491078350925,8635.943945199999,8890.3699217,-0.049922798166195714,0.04520757051179215,53.70661084484323,0.06434000000000009,0.13197261999999998,-0.185352,-0.5967171,0.18684000000000003,-0.20055498,-0.026329450534541166,0
2008-11-17,8273.580078,-0.134164,-0.7176465,-0.026329450534541166,8516.551952999998,8785.7449217,-0.06729691296983265,0.0458112690867999,39.22124131123037,-0.013152000000000108,-0.25290201999999995,-0.1210119999999999,-0.46474448,0.06434000000000009,0.13197261999999998,0.018271403742373904,1
2008-11-18,8424.75,-0.280028,-0.58759767,0.018271403742373904,8462.709960799999,8665.6918944,-0.03096517147624811,0.04752515674154323,42.4480539049976,-0.145864,0.13004883,-0.134164,-0.7176465,-0.013152000000000108,-0.25290201999999995,-0.05073981008338535,0
2008-11-19,7997.279785,0.0129479999999999,-0.49723163,-0.05073981008338535,8405.633886599999,8551.492919799999,-0.03445515880465877,0.04830037851282599,35.1573036395892,0.2929759999999999,0.09036603999999998,-0.280028,-0.58759767,-0.145864,0.13004883,-0.055642638242398235,0
2008-11-20,7552.290039,-0.074596,-0.33595216,-0.055642638242398235,8149.0418944,8437.1429198,-0.14520924263603174,0.029571468336172597,29.325334369062176,-0.0875439999999999,0.16127946999999998,0.0129479999999999,-0.49723163,0.2929759999999999,0.09036603999999998,0.06542782128974323,1
2008-11-21,8046.419922,-0.220972,-0.5043994,0.06542782128974323,8058.8639648,8347.403955,-0.053062636389273,0.05123003766737984,36.669013953954604,-0.146376,-0.16844724000000005,-0.074596,-0.33595216,-0.0875439999999999,0.16127946999999998,0.04933495018258127,1
2008-11-24,8443.389648,-0.227288,-0.21651989,0.04933495018258127,8092.8258788,8304.688915900002,0.020524315761629497,0.0560739465161793,37.85973719860081,-0.006315999999999988,0.28787951000000006,-0.220972,-0.5043994,-0.146376,-0.16844724000000005,0.004273174696911575,1
2008-11-25,8479.469727,-0.251008,-0.7016992,0.004273174696911575,8103.7698242000015,8283.2398925,0.006495115819460384,0.055613861686112584,42.53234545806456,-0.02372000000000002,-0.48517931,-0.227288,-0.21651989,-0.006315999999999988,0.28787951000000006,0.02914576417592052,1
2008-11-26,8726.610352,-0.20006,-0.6867505,0.02914576417592052,8249.6359376,8327.6349121,0.0911973304182705,0.04734416520827976,50.365050303218375,0.05094800000000002,0.014948699999999926,-0.251008,-0.7016992,-0.02372000000000002,-0.48517931,0.011737625821293118,1
2008-11-28,8829.040039,-0.2076559999999999,-0.7728516,0.011737625821293118,8504.9859376,8327.013916,0.1690546832029578,0.02552158764441464,48.592057522776656,-0.007595999999999908,-0.08610109999999993,-0.20006,-0.6867505,0.05094800000000002,0.014948699999999926,-0.07701292462107945,0
2008-12-01,8149.089844,-0.11704,-0.71393555,-0.07701292462107945,8525.519922,8292.191943400001,0.012759702202377765,0.04824244784433729,42.296264182553244,0.09061599999999989,0.05891605,-0.2076559999999999,-0.7728516,-0.007595999999999908,-0.08610109999999993,0.033132534450923457,1
2008-12-02,8419.089844,-0.28084,-0.500522,0.033132534450923457,8520.659961199999,8306.74292,-0.0028779678556888344,0.044816116311155195,47.122315032367275,-0.16379999999999997,0.21341354999999995,-0.11704,-0.71393555,0.09061599999999989,0.05891605,0.020501098004436447,1
2008-12-03,8591.69043,-0.2270799999999999,-0.57974607,0.020501098004436447,8543.1041018,8323.436963,0.013234401043106692,0.04575756538093282,53.40552461669545,0.053760000000000085,-0.07922406999999998,-0.28084,-0.500522,-0.16379999999999997,0.21341354999999995,-0.02507657809081465,0
2008-12-04,8376.240234,-0.163456,-0.6713965,-0.02507657809081465,8473.030078200001,8361.3330079,-0.04014962326348159,0.04457020066985733,44.53566409283478,0.0636239999999999,-0.09165042999999995,-0.2270799999999999,-0.57974607,0.053760000000000085,-0.07922406999999998,0.030942246253630845,1
2008-12-05,8635.419922,-0.3478,-0.68694335,0.030942246253630845,8434.306054800001,8469.6459962,-0.0219299171987819,0.04736550006081234,51.6755718556513,-0.184344,-0.015546850000000001,-0.163456,-0.6713965,0.0636239999999999,-0.09165042999999995,0.034597016554906324,1
2008-12-08,8934.179688,-0.1401,-0.65202147,0.034597016554906324,8591.324023600002,8558.421972799999,0.09634080112370391,0.02515177629854003,57.87117713340508,0.2077,0.03492187999999996,-0.3478,-0.68694335,-0.184344,-0.015546850000000001,-0.0271820825728617,0
2008-12-09,8691.330078,-0.254696,-0.24143554,-0.0271820825728617,8645.7720704,8583.2160158,0.03233606471060724,0.03047183497040957,53.108443072244214,-0.11459599999999998,0.41058593,-0.1401,-0.65202147,0.2077,0.03492187999999996,0.00806434036804271,1
2008-12-10,8761.419922,-0.2618,-0.23097657,0.00806434036804271,8679.7179688,8611.4110353,0.01975507536995824,0.029563443688359496,59.72035211666606,-0.007103999999999999,0.010458970000000012,-0.254696,-0.24143554,-0.11459599999999998,0.41058593,-0.02240847713588212,0
2008-12-11,8565.089844,-0.193364,-0.65009767,-0.02240847713588212,8717.4878908,8595.2589845,0.022545868399695523,0.028918376305223436,63.753541798086104,0.06843599999999997,-0.41912109999999997,-0.2618,-0.23097657,-0.007103999999999999,0.010458970000000012,0.007541058550045054,1
2008-12-12,8629.679688,-0.4011679999999999,-0.55890626,0.007541058550045054,8716.339844,8575.3229494,-0.0006647313103297359,0.02529716037018432,58.96655074727677,-0.2078039999999999,0.09119140999999997,-0.193364,-0.65009767,0.06843599999999997,-0.41912109999999997,-0.007549459233184952,0
2008-12-15,8564.530273,-0.081856,-0.6951883,-0.007549459233184952,8642.409961000001,8616.8669923,-0.041374745965373494,0.016392650889824337,52.07389990159532,0.31931199999999993,-0.13628204,-0.4011679999999999,-0.55890626,-0.2078039999999999,0.09119140999999997,0.04198821926447982,1
2008-12-16,8924.139648,-0.21748,-0.5714475,0.04198821926447982,8688.971875,8667.3719727,0.026786414497051547,0.023933761232996575,56.85345640499025,-0.13562400000000002,0.12374079999999998,-0.081856,-0.6951883,0.31931199999999993,-0.13628204,-0.011183128899419081,0
2008-12-17,8824.339844,-0.126932,-0.6125586,-0.011183128899419081,8701.5558594,8690.6369141,0.007181475441213392,0.02494996118913636,51.577917009864194,0.09054800000000002,-0.041111099999999956,-0.21748,-0.5714475,-0.13562400000000002,0.12374079999999998,-0.024857339345236484,0
2008-12-18,8604.990234,-0.2334239999999999,-0.30228028,-0.024857339345236484,8709.5359374,8713.5119141,0.0046584905385378406,0.02555761613781527,46.514154300373384,-0.10649199999999992,0.31027831999999994,-0.126932,-0.6125586,0.09054800000000002,-0.041111099999999956,-0.0030075434481894314,0
2008-12-19,8579.110352,-0.251948,-0.42044678,-0.0030075434481894314,8699.422070199998,8707.880957099998,-0.005859931982217126,0.02533648979455163,58.40002685411301,-0.018524000000000096,-0.11816650000000001,-0.2334239999999999,-0.30228028,-0.10649199999999992,0.31027831999999994,-0.006926116993721476,0
2008-12-22,8519.69043,-0.3330039999999999,0.0018622398,-0.006926116993721476,8690.4541016,8666.432031299999,-0.00523552857783216,0.025297228937803423,52.14129668730733,-0.0810559999999999,0.4223090198,-0.251948,-0.42044678,-0.018524000000000096,-0.11816650000000001,-0.011761013715612223,0
2008-12-23,8419.490234,-0.102596,-0.6392383,-0.011761013715612223,8589.524218800001,8639.2480469,-0.05654880289923492,0.008240421947442777,46.21813521748287,0.2304079999999999,-0.6411005398,-0.3330039999999999,0.0018622398,-0.0810559999999999,0.4223090198,0.005818669971510149,1
2008-12-24,8468.480469,-0.105776,-0.8359961,0.005818669971510149,8518.352343800001,8609.9541016,-0.04032702517026954,0.011349460805881175,52.18558322378342,-0.0031799999999999884,-0.19675779999999998,-0.102596,-0.6392383,0.2304079999999999,-0.6411005398,0.005558179672528585,1
2008-12-26,8515.549805,-0.21034,-0.6270806,0.005558179672528585,8500.464258,8605.0000977,-0.010394018652874704,0.007726523131291725,46.8423438377243,-0.104564,0.20891550000000003,-0.105776,-0.8359961,-0.0031799999999999884,-0.19675779999999998,-0.0037132208400019184,0
2008-12-29,8483.929688,-0.206028,-0.38788188,-0.0037132208400019184,8481.428125200002,8590.425097700001,-0.011094467852113654,0.007754471482545036,36.1966720557393,0.00431200000000001,0.23919871999999998,-0.21034,-0.6270806,-0.104564,0.20891550000000003,0.02174227825825903,1
2008-12-30,8668.389648,-0.2099599999999999,-0.49082032,0.02174227825825903,8511.1679688,8600.8110352,0.017453594026890062,0.012523158005783836,49.27060128870901,-0.003931999999999908,-0.10293843999999996,-0.206028,-0.38788188,0.00431200000000001,0.23919871999999998,0.01245906153110199,1
2008-12-31,8776.389648,-0.24948,-0.49588263,0.01245906153110199,8582.5478516,8586.0360352,0.04238967016776751,0.009433425273279693,50.46476328932742,-0.03952000000000011,-0.005062310000000014,-0.2099599999999999,-0.49082032,-0.003931999999999908,-0.10293843999999996,0.029431325677166553,1
2009-01-02,9034.69043,-0.230072,-0.7276856,0.029431325677166553,8695.789843800001,8607.071093800001,0.06686086873231711,0.01305158345489078,64.03939792636129,0.01940800000000001,-0.23180297000000005,-0.24948,-0.49588263,-0.03952000000000011,-0.005062310000000014,-0.009054076908753594,0
2009-01-05,8952.889648,-0.316992,-0.6573468,-0.009054076908753594,8783.257812400001,8641.8610352,0.05135779286302933,0.01637425571036907,59.56440895192189,-0.08692,0.07033880000000003,-0.230072,-0.7276856,0.01940800000000001,-0.23180297000000005,0.006948590169867375,1
2009-01-06,9015.099609,-0.143424,-0.6845117,0.006948590169867375,8889.491796600001,8685.4599609,0.06260894898166214,0.014724964166277098,63.3564556488936,0.173568,-0.027164899999999936,-0.316992,-0.6573468,-0.08692,0.07033880000000003,-0.027220932063247827,0
2009-01-07,8769.700195,-0.356836,-0.4170703,-0.027220932063247827,8909.753906000002,8710.460937400001,0.01168735498909812,0.021570227405729434,45.08936556751072,-0.213412,0.26744139999999994,-0.143424,-0.6845117,0.173568,-0.027164899999999936,-0.00310617619693887,0
2009-01-08,8742.459961,-0.3390959999999999,-0.6440165,-0.00310617619693887,8902.9679686,8742.7579101,-0.003866018757238243,0.02088832266233765,47.27056217341208,0.01774000000000009,-0.2269462,-0.356836,-0.4170703,-0.213412,0.26744139999999994,-0.01638901106086521,0
2009-01-09,8599.179688,-0.244216,-0.605671,-0.01638901106086521,8815.8658202,8755.827832,-0.04820427942432559,0.012968968028293539,49.795959549130345,0.09487999999999991,0.03834550000000003,-0.3390959999999999,-0.6440165,0.01774000000000009,-0.2269462,-0.014560686663488198,0
2009-01-12,8473.969727,-0.224524,-0.54482424,-0.014560686663488198,8720.081836000001,8751.669824200002,-0.05349333453551364,0.013126429934025135,46.548695377087924,0.019691999999999987,0.06084676,-0.244216,-0.605671,0.09487999999999991,0.03834550000000003,-0.0029986131433816787,0
2009-01-13,8448.55957,-0.264196,-0.5143945,-0.0029986131433816787,8606.773828200001,8748.132812400001,-0.06284345859411355,0.010173083758053612,47.61176234237308,-0.039671999999999985,0.030429739999999983,-0.224524,-0.54482424,0.019691999999999987,0.06084676,-0.029403819662006447,0
2009-01-14,8200.139648,-0.27624,-0.5617969,-0.029403819662006447,8492.8617188,8701.3078124,-0.06494641029173731,0.010960116276023673,43.30190868239204,-0.012044,-0.04740240000000007,-0.264196,-0.5143945,-0.039671999999999985,0.030429739999999983,0.0015061433744012476,1
2009-01-15,8212.490234,-0.167776,-0.6036816,0.0015061433744012476,8386.8677734,8644.917871,-0.06062020636802312,0.012160107047076754,42.004160575111726,0.10846399999999998,-0.0418847,-0.27624,-0.5617969,-0.012044,-0.04740240000000007,0.008368897988512147,1
2009-01-16,8281.219727,-0.436044,-0.61145836,0.008368897988512147,8323.2757812,8569.5708007,-0.03697561541174765,0.014855905404075217,42.77842986003596,-0.26826799999999995,-0.007776759999999938,-0.167776,-0.6036816,0.10846399999999998,-0.0418847,-0.040106396635887664,0
