,date,sent_mean,sent_median,headline_count
0,2008-06-08,-0.36297199999999996,-0.3612,25
1,2008-06-09,-0.222892,-0.3818,25
2,2008-06-10,-0.279236,-0.1779,25
3,2008-06-11,-0.17125999999999997,0.0,25
4,2008-06-12,-0.09004000000000001,0.0,25
5,2008-06-13,-0.271884,-0.3818,25
6,2008-06-14,-0.147972,0.0,25
7,2008-06-15,-0.155768,0.0,25
8,2008-06-16,-0.261168,-0.296,25
9,2008-06-17,-0.20792,-0.296,25
10,2008-06-18,-0.227332,-0.25,25
11,2008-06-19,-0.09018799999999999,0.0,25
12,2008-06-20,-0.38464800000000005,-0.5106,25
13,2008-06-21,-0.213316,-0.3182,25
14,2008-06-22,-0.287632,-0.2263,25
15,2008-06-23,-0.15249600000000002,0.0,25
16,2008-06-24,-0.197112,-0.1027,25
17,2008-06-25,-0.24968800000000002,-0.3612,25
18,2008-06-26,-0.322816,-0.2263,25
19,2008-06-27,-0.2563,-0.2153,25
20,2008-06-28,-0.292472,-0.3182,25
21,2008-06-29,-0.33108,-0.4767,25
22,2008-06-30,-0.10351600000000001,0.0,25
23,2008-07-01,-0.06545200000000001,0.0,25
24,2008-07-02,-0.134652,-0.1531,25
25,2008-07-03,-0.270708,-0.4019,25
26,2008-07-04,-0.178792,-0.1027,25
27,2008-07-05,-0.313548,0.0,25
28,2008-07-06,-0.195548,-0.4588,25
29,2008-07-07,-0.33199599999999996,-0.4404,25
30,2008-07-08,-0.18673199999999998,-0.1531,25
31,2008-07-09,-0.34673200000000004,-0.4767,25
32,2008-07-10,-0.23056000000000001,-0.296,25
33,2008-07-11,0.00948399999999999,0.0,25
34,2008-07-12,-0.274908,-0.296,25
35,2008-07-13,-0.243976,-0.1779,25
36,2008-07-14,-0.13854,0.0,25
37,2008-07-15,-0.16791599999999998,-0.0516,25
38,2008-07-16,-0.216888,-0.296,25
39,2008-07-17,-0.01084,0.0,25
40,2008-07-18,-0.15831199999999998,-0.128,25
41,2008-07-19,-0.18772000000000003,-0.1531,25
42,2008-07-20,-0.270888,-0.2732,25
43,2008-07-21,-0.29352,-0.4019,25
44,2008-07-22,-0.183356,0.0,25
45,2008-07-23,-0.198996,0.0,25
46,2008-07-24,-0.214104,0.0,25
47,2008-07-25,-0.08016400000000001,0.0,25
48,2008-07-26,-0.254236,-0.3182,25
49,2008-07-27,-0.34299999999999997,-0.4215,25
50,2008-07-28,-0.412328,-0.4767,25
51,2008-07-29,-0.322564,-0.4767,25
52,2008-07-30,-0.26322,-0.34,25
53,2008-07-31,-0.184584,0.0,25
54,2008-08-01,-0.140124,0.0,25
55,2008-08-02,-0.08734399999999999,-0.0191,25
56,2008-08-03,-0.11460799999999999,-0.128,25
57,2008-08-04,-0.242668,-0.1531,25
58,2008-08-05,-0.156628,0.0,25
59,2008-08-06,-0.207356,0.0,25
60,2008-08-07,-0.197028,-0.3818,25
61,2008-08-08,-0.382692,-0.3612,25
62,2008-08-09,-0.108392,0.0,25
63,2008-08-10,-0.13567600000000002,0.0,25
64,2008-08-11,-0.176948,-0.1965,25
65,2008-08-12,-0.215776,0.0,25
66,2008-08-13,-0.141844,-0.128,25
67,2008-08-14,-0.175928,0.0,25
68,2008-08-15,-0.18624000000000002,-0.2732,25
69,2008-08-16,-0.21856,-0.296,25
70,2008-08-17,-0.119968,0.0,25
71,2008-08-18,-0.21420000000000003,0.0,25
72,2008-08-19,-0.318368,-0.3612,25
73,2008-08-20,-0.18737600000000001,-0.1027,25
74,2008-08-21,-0.309208,-0.3182,25
75,2008-08-22,-0.068072,0.0,25
76,2008-08-23,-0.20121200000000003,0.0,25
77,2008-08-24,-0.07736799999999999,0.0,25
78,2008-08-25,-0.42837200000000003,-0.5106,25
79,2008-08-26,-0.3288,-0.4404,25
80,2008-08-27,-0.233156,-0.34,25
81,2008-08-28,-0.06400800000000001,0.0,25
82,2008-08-29,-0.09606399999999998,0.0,25
83,2008-08-30,-0.238796,-0.2585,25
84,2008-08-31,-0.14103200000000002,0.0,25
85,2008-09-01,-0.038516,0.0,25
86,2008-09-02,-0.264656,-0.25,25
87,2008-09-03,-0.15700799999999998,0.0,25
88,2008-09-04,-0.150332,-0.1027,25
89,2008-09-05,-0.244196,-0.0772,25
90,2008-09-06,-0.23994800000000002,-0.1027,25
91,2008-09-07,-0.21506799999999998,-0.0516,25
92,2008-09-08,-0.332532,-0.4767,25
93,2008-09-09,-0.267764,-0.296,25
94,2008-09-10,-0.304908,-0.4215,25
95,2008-09-11,-0.169724,0.0,25
96,2008-09-12,-0.182008,-0.1027,25
97,2008-09-13,-0.32096800000000003,-0.3182,25
98,2008-09-14,-0.118072,0.0,25
99,2008-09-15,-0.235164,-0.3612,25
100,2008-09-16,-0.337376,-0.3612,25
101,2008-09-17,-0.25962,-0.128,25
102,2008-09-18,-0.32577600000000007,-0.34,25
103,2008-09-19,-0.294332,-0.296,25
104,2008-09-20,-0.342144,-0.4404,25
105,2008-09-21,-0.224192,-0.296,25
106,2008-09-22,-0.26096,-0.34,25
107,2008-09-23,-0.183952,0.0,25
108,2008-09-24,-0.29406,-0.3612,25
109,2008-09-25,-0.23349599999999998,0.0,25
110,2008-09-26,-0.238132,-0.2263,25
111,2008-09-27,-0.063784,0.0,25
112,2008-09-28,-0.14604,-0.1027,25
113,2008-09-29,-0.114084,0.0,25
114,2008-09-30,-0.152144,0.0,25
115,2008-10-01,-0.22376000000000001,-0.34,25
116,2008-10-02,-0.154596,0.0,25
117,2008-10-03,-0.17266,0.0,25
118,2008-10-04,-0.2474,-0.4019,25
119,2008-10-05,-0.28027599999999997,-0.296,25
120,2008-10-06,-0.08759600000000001,0.0,25
121,2008-10-07,-0.24825200000000003,-0.34,25
122,2008-10-08,-0.33307200000000003,-0.4215,25
123,2008-10-09,-0.265152,-0.2732,25
124,2008-10-10,-0.18570399999999998,-0.1154,25
125,2008-10-11,-0.30046,-0.4404,25
126,2008-10-12,-0.045852000000000004,0.0,25
127,2008-10-13,-0.08230399999999999,0.0,25
128,2008-10-14,-0.222028,-0.3182,25
129,2008-10-15,-0.18078,0.0,25
130,2008-10-16,-0.09992000000000001,0.0,25
131,2008-10-17,-0.263564,-0.34,25
132,2008-10-18,-0.321648,-0.3612,25
133,2008-10-19,-0.20744800000000002,-0.3182,25
134,2008-10-20,-0.097376,0.0,25
135,2008-10-21,-0.15858,-0.0516,25
136,2008-10-22,-0.159628,-0.3244,25
137,2008-10-23,-0.18285999999999997,-0.1027,25
138,2008-10-24,-0.270536,-0.4588,25
139,2008-10-25,-0.15109999999999998,0.0,25
140,2008-10-26,-0.255542,-0.25,50
141,2008-10-27,-0.233564,0.0,25
142,2008-10-28,-0.25213599999999997,-0.1027,25
143,2008-10-29,-0.212204,-0.1779,25
144,2008-10-30,-0.336888,-0.4215,25
145,2008-10-31,-0.182564,-0.0258,25
146,2008-11-01,-0.16963999999999999,0.0,25
147,2008-11-02,-0.233924,-0.2263,25
148,2008-11-03,-0.296792,-0.4019,25
149,2008-11-04,-0.11514,0.0,25
150,2008-11-05,-0.123704,-0.2003,25
151,2008-11-06,-0.23124,-0.1027,25
152,2008-11-07,-0.22807200000000002,-0.0516,25
153,2008-11-08,-0.33498,-0.4215,25
154,2008-11-09,-0.20536000000000001,-0.0772,25
155,2008-11-10,-0.271436,-0.3818,25
156,2008-11-11,-0.3053,-0.4215,25
157,2008-11-12,-0.372192,-0.4767,25
158,2008-11-13,-0.185352,-0.1027,25
159,2008-11-14,-0.12101199999999998,0.0,25
160,2008-11-15,-0.03893199999999999,0.0,25
161,2008-11-16,-0.073428,0.0,25
162,2008-11-17,-0.134164,0.0,25
163,2008-11-18,-0.280028,-0.128,25
164,2008-11-19,0.012947999999999994,0.0,25
165,2008-11-20,-0.074596,0.0,25
166,2008-11-21,-0.220972,-0.128,25
167,2008-11-22,-0.145212,0.0,25
168,2008-11-23,-0.16602,-0.296,25
169,2008-11-24,-0.227288,-0.1779,25
170,2008-11-25,-0.251008,-0.0258,25
171,2008-11-26,-0.20006000000000002,0.0,25
172,2008-11-27,-0.193372,0.0,25
173,2008-11-28,-0.20765599999999998,-0.2023,25
174,2008-11-29,-0.44526000000000004,-0.4767,25
175,2008-11-30,-0.349296,-0.4767,25
176,2008-12-01,-0.11704,0.0,25
177,2008-12-02,-0.28084,-0.296,25
178,2008-12-03,-0.22707999999999998,-0.1779,25
179,2008-12-04,-0.16345600000000002,0.0,25
180,2008-12-05,-0.3478,-0.4404,25
181,2008-12-06,-0.395576,-0.34,25
182,2008-12-07,-0.23329999999999998,-0.296,25
183,2008-12-08,-0.1401,0.0,25
184,2008-12-09,-0.254696,-0.2732,25
185,2008-12-10,-0.2618,-0.0772,25
186,2008-12-11,-0.193364,-0.2263,25
187,2008-12-12,-0.40116799999999997,-0.4404,25
188,2008-12-13,-0.382128,-0.4559,25
189,2008-12-14,-0.31617999999999996,-0.2732,25
190,2008-12-15,-0.08185600000000001,0.0,25
191,2008-12-16,-0.21748,-0.25,25
192,2008-12-17,-0.126932,-0.128,25
193,2008-12-18,-0.23342399999999996,-0.296,25
194,2008-12-19,-0.251948,-0.2263,25
195,2008-12-20,-0.20295199999999997,-0.0516,25
196,2008-12-21,-0.248704,-0.3612,25
197,2008-12-22,-0.33300399999999997,-0.4404,25
198,2008-12-23,-0.102596,0.0,25
199,2008-12-24,-0.10577600000000001,0.0,25
200,2008-12-25,-0.09958,0.0,25
201,2008-12-26,-0.21034,-0.0346,25
202,2008-12-27,-0.24956,-0.4215,25
203,2008-12-28,-0.24378799999999998,-0.3182,25
204,2008-12-29,-0.206028,-0.25,25
205,2008-12-30,-0.20995999999999998,-0.3197,25
206,2008-12-31,-0.24948,-0.296,25
207,2009-01-01,-0.13747600000000001,0.0,25
208,2009-01-02,-0.230072,-0.34,25
209,2009-01-03,-0.190396,-0.2481,25
210,2009-01-04,-0.271192,-0.3802,25
211,2009-01-05,-0.316992,-0.4404,25
212,2009-01-06,-0.143424,-0.2732,25
213,2009-01-07,-0.356836,-0.4404,25
214,2009-01-08,-0.33909599999999995,-0.4588,25
215,2009-01-09,-0.244216,-0.2023,25
216,2009-01-10,-0.19858399999999998,-0.1531,25
217,2009-01-11,-0.23498000000000002,-0.3987,25
218,2009-01-12,-0.224524,-0.4404,25
219,2009-01-13,-0.264196,-0.34,25
220,2009-01-14,-0.27624,-0.1531,25
221,2009-01-15,-0.167776,0.0,25
222,2009-01-16,-0.436044,-0.5574,25
223,2009-01-17,-0.388756,-0.5423,25
224,2009-01-18,-0.13422800000000001,0.0,25
225,2009-01-19,-0.262412,-0.296,25
226,2009-01-20,-0.391208,-0.5106,25
227,2009-01-21,-0.22157600000000002,-0.25,25
228,2009-01-22,-0.195444,0.0,25
229,2009-01-23,-0.185396,-0.1027,25
230,2009-01-24,-0.14604,-0.2023,25
231,2009-01-25,-0.225064,-0.2732,25
232,2009-01-26,-0.29404,-0.3464,25
233,2009-01-27,-0.3187,-0.4023,25
234,2009-01-28,-0.224572,0.0,25
235,2009-01-29,-0.16781600000000002,0.0,25
236,2009-01-30,-0.192952,-0.0258,25
237,2009-01-31,-0.329424,-0.3818,25
238,2009-02-01,-0.18728,0.0,25
239,2009-02-02,-0.115224,0.0,25
240,2009-02-03,-0.23266799999999999,-0.1406,25
241,2009-02-04,-0.24109999999999998,-0.25,25
242,2009-02-05,-0.134336,0.0,25
243,2009-02-06,-0.197436,-0.0516,25
244,2009-02-07,-0.261892,0.0,25
245,2009-02-08,-0.20224399999999998,-0.0772,25
246,2009-02-09,-0.34549199999999997,-0.3612,25
247,2009-02-10,-0.257916,-0.1531,25
248,2009-02-11,-0.23582,-0.296,25
249,2009-02-12,-0.227688,-0.25,25
250,2009-02-13,-0.239136,-0.3182,25
251,2009-02-14,-0.194288,-0.128,25
252,2009-02-15,-0.007303999999999993,0.0,25
253,2009-02-16,-0.427444,-0.4215,25
254,2009-02-17,-0.263292,-0.25,25
255,2009-02-18,-0.134344,0.0,25
256,2009-02-19,-0.190804,-0.1531,25
257,2009-02-20,-0.262136,-0.296,25
258,2009-02-21,-0.18916800000000003,-0.2263,25
259,2009-02-22,-0.16381199999999999,0.0,25
260,2009-02-23,-0.24120799999999998,-0.128,25
261,2009-02-24,-0.14074799999999998,0.0,25
262,2009-02-25,-0.310536,-0.4023,25
263,2009-02-26,-0.119032,0.0,25
264,2009-02-27,-0.214164,-0.296,25
265,2009-02-28,-0.34316800000000003,-0.4019,25
266,2009-03-01,-0.273532,-0.25,25
267,2009-03-02,-0.179276,0.0,25
268,2009-03-03,-0.243072,-0.25,25
269,2009-03-04,-0.361224,-0.3612,25
270,2009-03-05,-0.253772,-0.2732,25
271,2009-03-06,-0.292644,-0.4404,25
272,2009-03-07,-0.21628,-0.2263,25
273,2009-03-08,-0.35504800000000003,-0.4404,25
274,2009-03-09,-0.11903999999999999,0.0,25
275,2009-03-10,-0.173352,0.0,25
276,2009-03-11,-0.43030799999999997,-0.5994,25
277,2009-03-12,-0.183644,0.0,25
278,2009-03-13,-0.224672,-0.128,25
279,2009-03-14,-0.243696,-0.1027,25
280,2009-03-15,-0.08014000000000002,0.0,25
281,2009-03-16,-0.166032,0.0,25
282,2009-03-17,-0.379236,-0.4767,25
283,2009-03-18,-0.35702799999999996,-0.4215,25
284,2009-03-19,-0.32321600000000006,-0.4019,25
285,2009-03-20,-0.33466,-0.4215,25
286,2009-03-21,-0.30913599999999997,-0.34,25
287,2009-03-22,-0.29202,-0.4019,25
288,2009-03-23,-0.23788,-0.296,25
289,2009-03-24,-0.37629999999999997,-0.4588,25
290,2009-03-25,-0.299752,-0.34,25
291,2009-03-26,-0.349176,-0.5106,25
292,2009-03-27,-0.231544,-0.2263,25
293,2009-03-28,-0.271728,-0.34,25
294,2009-03-30,-0.241804,-0.1045,25
295,2009-03-31,-0.213844,-0.296,25
296,2009-04-01,-0.121324,0.0,25
297,2009-04-02,-0.28562,-0.4019,25
298,2009-04-03,-0.178052,0.0,25
299,2009-04-04,-0.31485199999999997,-0.3182,25
300,2009-04-05,-0.251516,-0.296,25
301,2009-04-06,-0.247656,-0.128,25
302,2009-04-07,-0.299516,-0.2023,25
303,2009-04-08,-0.13522800000000001,0.0,25
304,2009-04-09,-0.31952400000000003,-0.3182,25
305,2009-04-10,-0.199928,-0.126,25
306,2009-04-11,-0.34288,-0.4939,25
307,2009-04-12,-0.204524,-0.3182,25
308,2009-04-13,-0.258636,-0.1739,25
309,2009-04-14,-0.23837599999999998,-0.1531,25
310,2009-04-15,-0.250024,-0.1779,25
311,2009-04-16,-0.34784800000000005,-0.4215,25
312,2009-04-17,-0.284552,-0.4404,25
313,2009-04-18,-0.111828,0.0,25
314,2009-04-19,-0.09710800000000001,0.0,25
315,2009-04-20,-0.27796,-0.3818,25
316,2009-04-21,-0.146532,0.0,25
317,2009-04-22,-0.18921599999999997,0.0,25
318,2009-04-23,-0.17674,-0.2302,25
319,2009-04-24,-0.179864,0.0,25
320,2009-04-25,-0.222252,-0.1779,25
321,2009-04-26,-0.259084,-0.3818,25
322,2009-04-27,-0.146084,0.0,25
