date,vader_mean,finbert_mean
2008-10-16,-0.09992000000000001,-0.51941407
2008-10-17,-0.263564,-0.63914925
2008-10-18,-0.321648,-0.44362792
2008-10-19,-0.20744800000000002,-0.52303714
2008-10-20,-0.097376,-0.8230176
2008-10-21,-0.15858,-0.5137012
2008-10-22,-0.159628,-0.42593506
2008-10-23,-0.18285999999999997,-0.38585937
2008-10-24,-0.270536,0.14065963
2008-10-25,-0.15109999999999998,-0.5279197
2008-10-26,-0.255542,-0.47929126
2008-10-27,-0.233564,-0.3879346
2008-10-28,-0.25213599999999997,-0.41436577
2008-10-29,-0.212204,-0.38844725
2008-10-30,-0.336888,-0.3739563
2008-10-31,-0.182564,-0.5275879
2008-11-01,-0.16963999999999999,-0.46979982
2008-11-02,-0.233924,-0.5050976
2008-11-03,-0.296792,-0.7263867
2008-11-04,-0.11514,-0.64104545
2008-11-05,-0.123704,-0.5404297
2008-11-06,-0.23124,-0.16912109
2008-11-07,-0.22807200000000002,-0.57356447
2008-11-08,-0.33498,-0.679375
2008-11-09,-0.20536000000000001,-0.711084
2008-11-10,-0.271436,-0.85615236
2008-11-11,-0.3053,-0.6741211
2008-11-12,-0.372192,-0.39616212
2008-11-13,-0.185352,-0.5967171
2008-11-14,-0.12101199999999998,-0.46474448
2008-11-15,-0.03893199999999999,-0.6049756
2008-11-16,-0.073428,-0.5517979
2008-11-17,-0.134164,-0.7176465
2008-11-18,-0.280028,-0.58759767
2008-11-19,0.012947999999999994,-0.49723163
2008-11-20,-0.074596,-0.33595216
2008-11-21,-0.220972,-0.5043994
2008-11-22,-0.145212,-0.67732424
2008-11-23,-0.16602,-0.40833008
2008-11-24,-0.227288,-0.21651989
2008-11-25,-0.251008,-0.7016992
2008-11-26,-0.20006000000000002,-0.6867505
2008-11-27,-0.193372,-0.6071875
2008-11-28,-0.20765599999999998,-0.7728516
2008-11-29,-0.44526000000000004,-0.41370118
2008-11-30,-0.349296,-0.45473632
2008-12-01,-0.11704,-0.71393555
2008-12-02,-0.28084,-0.500522
2008-12-03,-0.22707999999999998,-0.57974607
2008-12-04,-0.16345600000000002,-0.6713965
2008-12-05,-0.3478,-0.68694335
2008-12-06,-0.395576,-0.76920897
2008-12-07,-0.23329999999999998,-0.71547157
2008-12-08,-0.1401,-0.65202147
2008-12-09,-0.254696,-0.24143554
2008-12-10,-0.2618,-0.23097657
2008-12-11,-0.193364,-0.65009767
2008-12-12,-0.40116799999999997,-0.55890626
2008-12-13,-0.382128,-0.5401807
2008-12-14,-0.31617999999999996,-0.558486
2008-12-15,-0.08185600000000001,-0.6951883
2008-12-16,-0.21748,-0.5714475
2008-12-17,-0.126932,-0.6125586
2008-12-18,-0.23342399999999996,-0.30228028
2008-12-19,-0.251948,-0.42044678
2008-12-20,-0.20295199999999997,-0.8133008
2008-12-21,-0.248704,-0.3533716
2008-12-22,-0.33300399999999997,0.0018622398
2008-12-23,-0.102596,-0.6392383
2008-12-24,-0.10577600000000001,-0.8359961
2008-12-25,-0.09958,-0.9669531
2008-12-26,-0.21034,-0.6270806
2008-12-27,-0.24956,-0.59440386
2008-12-28,-0.24378799999999998,-0.59375
2008-12-29,-0.206028,-0.38788188
2008-12-30,-0.20995999999999998,-0.49082032
2008-12-31,-0.24948,-0.49588263
2009-01-01,-0.13747600000000001,-0.4232129
2009-01-02,-0.230072,-0.7276856
2009-01-03,-0.190396,-0.8103613
2009-01-04,-0.271192,-0.13750824
2009-01-05,-0.316992,-0.6573468
2009-01-06,-0.143424,-0.6845117
2009-01-07,-0.356836,-0.4170703
2009-01-08,-0.33909599999999995,-0.6440165
2009-01-09,-0.244216,-0.605671
2009-01-10,-0.19858399999999998,-0.5710547
2009-01-11,-0.23498000000000002,-0.5213471
2009-01-12,-0.224524,-0.54482424
2009-01-13,-0.264196,-0.5143945
2009-01-14,-0.27624,-0.5617969
2009-01-15,-0.167776,-0.6036816
2009-01-16,-0.436044,-0.61145836
2009-01-17,-0.388756,-0.22589844
2009-01-18,-0.13422800000000001,-0.8770611
2009-01-19,-0.262412,-0.65295684
2009-01-20,-0.391208,-0.41851074
2009-01-21,-0.22157600000000002,-0.45016602
2009-01-22,-0.195444,-0.57689714
2009-01-23,-0.185396,-0.45753905
2009-01-24,-0.14604,-0.5536816
2009-01-25,-0.225064,-0.237359
2009-01-26,-0.29404,-0.6921875
2009-01-27,-0.3187,-0.65303123
2009-01-28,-0.224572,-0.43540528
2009-01-29,-0.16781600000000002,-0.68102294
2009-01-30,-0.192952,-0.57166994
2009-01-31,-0.329424,-0.6531055
2009-02-01,-0.18728,-0.5158817
2009-02-02,-0.115224,-0.6019337
2009-02-03,-0.23266799999999999,-0.5856152
2009-02-04,-0.24109999999999998,-0.48558593
2009-02-05,-0.134336,-0.43121606
2009-02-06,-0.197436,-0.62511593
2009-02-07,-0.261892,-0.5267536
2009-02-08,-0.20224399999999998,-0.4403321
2009-02-09,-0.34549199999999997,-0.4092035
2009-02-10,-0.257916,-0.71166015
2009-02-11,-0.23582,-0.4772461
2009-02-12,-0.227688,-0.65273196
2009-02-13,-0.239136,-0.5895386
2009-02-14,-0.194288,-0.7032324
2009-02-15,-0.007303999999999993,-0.5869456
2009-02-16,-0.427444,-0.5403608
2009-02-17,-0.263292,-0.38768235
2009-02-18,-0.134344,-0.5126563
2009-02-19,-0.190804,-0.66265625
2009-02-20,-0.262136,-0.5511719
