,Coefficient
finbert_change_shifted,0.06679471968565781
mom_5,0.060323395123472706
finbert_mean_shifted,0.004326194542642978
ma_5,0.00031246265287970684
ma_10,-0.0053534171660699756
RSI_14,-0.031405338654510714
vol_5,-0.06558989447455338
ret_1d,-0.1608132906397798
