Date,adjclose,close,high,low,open,volume
2019-12-02,65.18714141845703,81.43000030517578,81.87999725341797,80.86000061035156,81.3499984741211,2135334
2019-12-03,63.51403045654297,79.33999633789062,80.4000015258789,79.19999694824219,80.23999786376953,3917400
2019-12-04,62.28923034667969,77.80999755859375,78.55999755859375,77.80999755859375,78.5,5003594
2019-12-05,62.93766784667969,78.62000274658203,78.94000244140625,78.40499877929688,78.73999786376953,3434240
2019-12-06,63.233856201171875,78.98999786376953,79.0999984741211,78.70500183105469,79.05999755859375,2327383
2019-12-09,63.44998550415039,79.26000213623047,79.55999755859375,79.06999969482422,79.41999816894531,1382702
2019-12-10,63.42597961425781,79.2300033569336,79.63999938964844,78.81999969482422,79.3499984741211,1450289
2019-12-11,64.29053497314453,80.30999755859375,80.34500122070312,79.5199966430664,79.83000183105469,2438700
2019-12-12,63.81824493408203,79.72000122070312,80.06999969482422,79.58000183105469,79.80999755859375,1936584
2019-12-13,64.09040069580078,80.05999755859375,80.69000244140625,79.86000061035156,80.19999694824219,2833940
2019-12-16,65.21116638183594,81.45999908447266,81.5,80.20999908447266,80.5,3266776
2019-12-17,65.56338500976562,81.9000015258789,81.9000015258789,81.01000213623047,81.5,2402263
2019-12-18,65.56338500976562,81.9000015258789,82.07499694824219,81.51000213623047,81.7300033569336,3524114
2019-12-19,65.42729949951172,81.7300033569336,82.37999725341797,81.4749984741211,82.3499984741211,4093135
2019-12-20,65.04305267333984,81.25,81.94000244140625,81.0,81.86000061035156,7478049
2019-12-23,64.71483612060547,80.83999633789062,81.30000305175781,80.75,81.19000244140625,1317871
2019-12-24,64.61075592041016,80.70999908447266,80.8499984741211,80.4000015258789,80.72000122070312,783104
2019-12-27,64.8989486694336,81.06999969482422,81.12000274658203,80.55000305175781,80.98999786376953,1159836
2019-12-30,64.92296600341797,81.0999984741211,81.30000305175781,80.47000122070312,81.25,905155
2019-12-31,63.96233367919922,79.9000015258789,80.55000305175781,79.80000305175781,80.52999877929688,1766363
2020-01-02,63.94631576538086,79.87999725341797,80.22000122070312,79.38999938964844,79.79000091552734,1416232
2020-01-03,64.29053497314453,80.30999755859375,81.19000244140625,80.25,80.97000122070312,1622784
2020-01-06,63.858245849609375,79.7699966430664,79.87999725341797,79.2300033569336,79.7300033569336,2129260
2020-01-07,65.0030288696289,81.19999694824219,81.19999694824219,80.18000030517578,80.81999969482422,2417468
2020-01-08,64.76286315917969,80.9000015258789,81.25,80.02999877929688,81.22000122070312,1719114
2020-01-09,65.23516082763672,81.48999786376953,81.83999633789062,81.16999816894531,81.5,3014295
2020-01-10,66.04370880126953,82.5,82.5,81.6050033569336,81.62999725341797,2875353
