Price,Adj Close,Close,High,Low,Open,Volume
Ticker,CBA.AX,CBA.AX,CBA.AX,CBA.AX,CBA.AX,CBA.AX
Date,,,,,,
2020-07-01,57.20866012573242,69.87999725341797,69.87999725341797,68.87000274658203,69.44999694824219,2669469
2020-07-02,58.20744323730469,71.0999984741211,71.16000366210938,69.5199966430664,69.80000305175781,4184511
2020-07-03,58.59221649169922,71.56999969482422,71.93000030517578,70.7699966430664,71.43000030517578,2633309
2020-07-06,58.46942138671875,71.41999816894531,72.30000305175781,70.97000122070312,71.4000015258789,2432574
2020-07-07,58.322052001953125,71.23999786376953,72.38999938964844,71.16000366210938,71.9000015258789,3742188
2020-07-08,57.76535415649414,70.55999755859375,71.47000122070312,70.25,70.97000122070312,3698529
2020-07-09,57.65073776245117,70.41999816894531,71.12999725341797,70.41999816894531,71.0199966430664,2582172
2020-07-10,57.82265853881836,70.62999725341797,71.1500015258789,70.20999908447266,70.61000061035156,2954790
2020-07-13,59.04248809814453,72.12000274658203,72.62999725341797,71.5,71.80000305175781,3169882
2020-07-14,58.72319412231445,71.7300033569336,72.25,71.44000244140625,72.0,2788782
2020-07-15,59.541873931884766,72.7300033569336,72.80000305175781,71.4000015258789,72.0,3427002
2020-07-16,59.46820068359375,72.63999938964844,73.44999694824219,72.08999633789062,73.06999969482422,3339604
2020-07-17,59.43544006347656,72.5999984741211,73.0199966430664,72.20999908447266,72.77999877929688,3329439
2020-07-20,58.93606185913086,71.98999786376953,72.3499984741211,71.55000305175781,72.20999908447266,1506664
2020-07-21,60.93360137939453,74.43000030517578,74.43000030517578,72.33999633789062,72.77999877929688,3172653
2020-07-22,60.68800735473633,74.12999725341797,74.72000122070312,73.56999969482422,74.30000305175781,2723772
2020-07-23,60.368736267089844,73.73999786376953,73.95999908447266,73.18000030517578,73.76000213623047,2494631
2020-07-24,59.64829635620117,72.86000061035156,73.63999938964844,72.75,73.19999694824219,2473039
2020-07-27,59.34538650512695,72.48999786376953,73.27999877929688,72.2699966430664,72.8499984741211,1905993
2020-07-28,59.11616516113281,72.20999908447266,73.05000305175781,72.12999725341797,72.81999969482422,1907858
2020-07-29,59.77110290527344,73.01000213623047,73.91000366210938,72.54000091552734,72.80000305175781,4074211
2020-07-30,59.943023681640625,73.22000122070312,73.87000274658203,73.02999877929688,73.30000305175781,2916496
2020-07-31,58.28929901123047,71.19999694824219,72.66999816894531,71.02999877929688,72.5999984741211,4787087
2020-08-03,57.24959182739258,69.93000030517578,70.51000213623047,69.12999725341797,70.41000366210938,3299430
2020-08-04,58.534915924072266,71.5,72.25,71.16999816894531,71.30000305175781,4177168
2020-08-05,58.69863510131836,71.69999694824219,71.7699966430664,69.66999816894531,70.30999755859375,2914726
2020-08-06,58.70682907104492,71.70999908447266,72.23999786376953,71.1500015258789,72.0,2237150
2020-08-07,58.55127716064453,71.5199966430664,71.6500015258789,71.0199966430664,71.20999908447266,2499015
2020-08-10,60.565216064453125,73.9800033569336,74.12000274658203,72.05999755859375,72.0999984741211,3363578
2020-08-11,61.15464782714844,74.69999694824219,76.02999877929688,73.91000366210938,74.0,4249396
2020-08-12,60.85993194580078,74.33999633789062,76.75,73.94999694824219,75.97000122070312,4403812
2020-08-13,59.2962646484375,72.43000030517578,75.16999816894531,72.12999725341797,74.98999786376953,5960634
2020-08-14,58.74776840209961,71.76000213623047,72.87000274658203,71.2699966430664,72.43000030517578,4061418
2020-08-17,57.92909240722656,70.76000213623047,71.44999694824219,70.6500015258789,71.0999984741211,3329741
2020-08-18,57.69987106323242,70.4800033569336,71.23999786376953,70.02999877929688,70.80000305175781,4601033
2020-08-19,58.978397369384766,71.04000091552734,71.05999755859375,69.51000213623047,69.51000213623047,3711730
2020-08-20,58.33082962036133,70.26000213623047,70.66999816894531,69.8499984741211,69.8499984741211,4527699
2020-08-21,57.80778884887695,69.62999725341797,71.1500015258789,69.62999725341797,70.5,4129176
2020-08-24,57.24324417114258,68.94999694824219,69.62999725341797,68.8499984741211,69.58000183105469,2682292
2020-08-25,58.48857498168945,70.44999694824219,70.77999877929688,69.5999984741211,70.0,3548162
2020-08-26,57.824398040771484,69.6500015258789,69.87000274658203,68.80000305175781,69.81999969482422,2667332
2020-08-27,57.342872619628906,69.06999969482422,69.83000183105469,68.9000015258789,69.6500015258789,3089720
2020-08-28,57.359474182128906,69.08999633789062,69.68000030517578,68.81999969482422,69.31999969482422,3290137
2020-08-31,56.6870002746582,68.27999877929688,69.16000366210938,68.27999877929688,68.8499984741211,2630027
2020-09-01,55.44998550415039,66.79000091552734,67.72000122070312,66.41999816894531,67.51000213623047,4125905
2020-09-02,56.130760192871094,67.61000061035156,67.91999816894531,66.9000015258789,66.95999908447266,2427562
2020-09-03,56.60398483276367,68.18000030517578,68.5999984741211,68.0199966430664,68.25,2379411
2020-09-04,55.40017318725586,66.7300033569336,67.44000244140625,66.66999816894531,67.12999725341797,2884072
2020-09-07,55.93150329589844,67.37000274658203,67.9000015258789,66.06999969482422,66.37000274658203,2350246
2020-09-08,56.86134719848633,68.48999786376953,68.48999786376953,67.56999969482422,67.87000274658203,2062956
2020-09-09,55.44998550415039,66.79000091552734,66.9800033569336,66.33000183105469,66.5999984741211,3026643
2020-09-10,55.39186477661133,66.72000122070312,67.87999725341797,66.29000091552734,67.87999725341797,2969184
2020-09-11,54.62807846069336,65.80000305175781,66.26000213623047,65.80000305175781,66.0,2996930
2020-09-14,54.935245513916016,66.16999816894531,66.58999633789062,65.80000305175781,66.19000244140625,1944822
2020-09-15,53.98880386352539,65.02999877929688,66.16000366210938,65.0,66.0,3757071
2020-09-16,54.5450439453125,65.69999694824219,65.83000183105469,65.01000213623047,65.5999984741211,3905800
2020-09-17,53.96390151977539,65.0,65.7699966430664,65.0,65.37000274658203,3934061
2020-09-18,53.44086456298828,64.37000274658203,65.25,64.37000274658203,65.11000061035156,6395277
2020-09-21,52.71857833862305,63.5,64.3499984741211,63.310001373291016,64.30000305175781,4649205
2020-09-22,52.3615837097168,63.06999969482422,63.279998779296875,62.63999938964844,63.0,3671667
