Sample,t+1_Actual_scaled,t+1_LSTM_scaled,t+1_ARIMA_scaled,t+1_ENS_scaled,t+1_Actual_$,t+1_LSTM_$,t+1_ARIMA_$,t+1_ENS_$
0,0.8135804263628211,0.91982055,0.7966926813562131,0.8336310470409781,87.85054016113281,93.52171,86.94906026779633,88.92085661742716
1,0.8183775333488547,0.91537845,0.8129425356662529,0.8436733342124402,88.10661315917969,93.28459,87.81648910003037,89.4569210810155
2,0.8425341485156536,0.91140866,0.818764991711829,0.8465580930370864,89.39611053466797,93.07268,88.1272959634019,89.61091156799442
3,0.8522995856485259,0.9079538,0.8421334387894853,0.8618795706257689,89.91739654541016,92.88826,89.37472036321147,90.42878298759476
4,0.8685750759963561,0.9050703,0.8507780593118707,0.8670657329794911,90.78619384765624,92.73434,89.83617638255596,90.70562403911642
5,0.8636067458495175,0.9028361,0.8694759751218982,0.8794840198160111,90.52098083496094,92.61507,90.83428448659488,91.36852106227893
6,0.8649773886810054,0.9013108,0.8631218622666154,0.8745785559593724,90.59414672851562,92.533646,90.49509740289679,91.10666389706721
7,0.8641209870286305,0.900516,0.8660518546623363,0.8763911022549531,90.54843139648438,92.49123,90.6515024902153,91.20341891323831
8,0.8769702990702636,0.9004319,0.8635992540193763,0.8746490392378188,91.23433685302734,92.48673,90.52058091571571,91.1104263448251
9,0.8678900404289606,0.9010266,0.8776274609898403,0.8846472106212787,90.74962615966795,92.51848,91.26941662578167,91.64413587613284
10,0.8505862106470788,0.90224826,0.8678818816762545,0.8781918140624925,89.82593536376953,92.583694,90.74919063961975,91.299542195983
11,0.8658342191059035,0.9039931,0.8515826438216586,0.8673057955546929,90.63988494873048,92.676834,89.8791256784969,90.71843875088537
12,0.8766274239761301,0.9061598,0.8643469713234827,0.8768908432595678,91.21603393554688,92.792496,90.5604945995905,91.23009544508785
13,0.8708025492527421,0.90865934,0.8768181755987493,0.8863705424858511,90.90509796142578,92.92592,91.22621639343839,91.73612856224044
14,0.8702887368461519,0.91140085,0.8719634025697557,0.8837946560564889,90.87767028808594,93.072266,90.96706514082074,91.59862590438532
15,0.8968437625817934,0.91432285,0.8691083651199033,0.8826727353523038,92.29519653320312,93.22824,90.81466120206174,91.53873697567724
16,0.8776556204860074,0.9173697,0.8960152318861544,0.9024215793163103,91.27091979980467,93.390884,92.25096897275391,92.59294437537596
17,0.8829665398786314,0.9204707,0.8790351321599706,0.891465818803636,91.5544204711914,93.55642,91.34455911850674,92.00811805223329
18,0.8791973435541266,0.92360413,0.8834317681068374,0.8954834888191954,91.35321807861328,93.72369,91.57925468637977,92.22258414795361
19,0.8656627100967492,0.92671657,0.8773393386212028,0.89215252474198,90.63072967529295,93.889824,91.25403644790443,92.04477490581615
20,0.8701172278369981,0.92975783,0.8683629783473666,0.8867814408478716,90.86851501464844,94.05217,90.77487192362712,91.75806261035765
21,0.8886201914412143,0.93265426,0.8687132246919015,0.887895559602904,91.85621643066406,94.20679,90.79356832372017,91.81753506544612
22,0.8827950308694775,0.9353957,0.8880311121464591,0.9022405057097052,91.5452651977539,94.35313,91.82477095706207,92.5832785368934
23,0.8517854873935874,0.9379747,0.8836738997881942,0.8999641551504267,89.88995361328125,94.49079,91.59217984851347,92.46176531777672
24,0.808440873055177,0.9403316,0.8525278673814835,0.8788689925643772,87.57618713378906,94.61661,89.92958238740366,91.3356904682011
25,0.8147797031093295,0.9423219,0.8086758033248568,0.8487696372537761,87.91455841064453,94.72285,87.58872787942263,89.72896537824502
26,0.8317408007212522,0.94381785,0.8146631320152186,0.8534095605098656,88.81995391845703,94.802704,87.90833576236058,89.97664779649283
27,0.8355098541215827,0.9447702,0.8311811079125618,0.8652578585027367,89.02114868164062,94.853546,88.79007711647536,90.60911840797192
28,0.8442473805929264,0.9451788,0.8363592085955903,0.8690051059328373,89.48756408691406,94.87536,89.06648783025601,90.80914915288609
29,0.8528133980551161,0.94508666,0.8422788460628684,0.8731211956047561,89.94482421875,94.87044,89.38248230734601,91.02886896017552
30,0.8632642995279068,0.9445961,0.8521235193059115,0.8798653030069359,90.50270080566406,94.84425,89.90799799825669,91.38887423140551
31,0.8553833176331126,0.94383276,0.8638171657462245,0.8878218544699279,90.0820083618164,94.8035,90.53221319937461,91.81360063279169
32,0.8397928628526777,0.94293416,0.8555984370089144,0.8817991525454917,89.2497787475586,94.75553,90.09349158778154,91.49210450134763
33,0.8320833899670371,0.941947,0.8404939396307428,0.8709298587032052,88.83824157714844,94.702835,89.28720272683253,90.91189383084347
34,0.8468171572467486,0.94089645,0.8318916241341344,0.8645930782963294,89.62474060058594,94.64676,88.82800497998741,90.57363196562395
35,0.8776556204860074,0.93981314,0.8467925342478685,0.8746987210503054,91.27091979980467,94.58893,89.62342620731465,91.11307839546915
36,0.8622363888663783,0.9387567,0.877040018712759,0.895555042279458,90.44783020019533,94.53254,91.23805853735261,92.2264037227814
37,0.871487870668486,0.9378141,0.8627536919236153,0.8852718192899206,90.94168090820312,94.48222,90.47544420696047,91.67747793309569
38,0.8798826649698707,0.9370113,0.8711001895008536,0.8908735350267724,91.38980102539062,94.43937,90.92098621050907,91.976501521087
39,0.8420201931848891,0.93640465,0.8782764681451763,0.8957149272949767,89.3686752319336,94.40699,91.30406109139493,92.23493849913429
40,0.8495585858338986,0.93597203,0.8454890675713046,0.872633957779268,89.77108001708984,94.383896,89.55384622490156,91.00285985696021
41,0.8737150580765233,0.9356839,0.8485171042096834,0.8746671566912089,91.0605697631836,94.368515,89.71548498393757,91.11139346743047
42,0.8670334958524119,0.93553907,0.8717651220282284,0.8908973173781491,90.7039031982422,94.36078,90.95648078385912,91.97777103999401
43,0.8259156401495155,0.93555343,0.8697091353862988,0.8894624480655446,88.50900268554688,94.36154,90.84673074808212,91.90117669099284
44,0.8262583723194746,0.9354148,0.8258880949519937,0.8587461157194778,88.52729797363281,94.35414,88.50753230322441,90.26151692610505
45,0.828142970481727,0.9350345,0.8253745572871388,0.8582725560639793,88.62789916992188,94.33385,88.48011929579468,90.2362379733757
46,0.8382509968603843,0.93435335,0.8281254832794344,0.8599938497339737,89.16747283935547,94.297485,88.62696569057034,90.3281218592006
47,0.8221467296733594,0.9333789,0.8396995728513555,0.8678033814540177,88.30781555175781,94.24547,89.2447988606401,90.7450002416749
48,0.8072415963086684,0.9321376,0.8208211585450124,0.8542161114213432,87.51216888427734,94.17921,88.23705561791675,90.01970206036079
49,0.8106679175390398,0.9306584,0.8079812672472609,0.8447844309325644,87.695068359375,94.10025,87.55165304741253,89.51623221772157
50,0.8091260515467465,0.9289465,0.809754462117337,0.8455120839199105,87.61276245117188,94.008865,87.64630745637687,89.5550748540334
51,0.8214611224092668,0.9270524,0.8098963767018806,0.8450431832481249,88.2712173461914,93.90775,87.65388295828593,89.53004460118312
52,0.8360238094523472,0.9250289,0.8212389875521869,0.8523759673386243,89.048583984375,93.799736,88.25935962882367,89.92147385459594
53,0.8466459340859432,0.9229595,0.8346919890172736,0.8611722561865269,89.6156005859375,93.68928,88.97749045807628,90.39102603751091
54,0.8699458617520189,0.92092663,0.846887480672681,0.8690992256199703,90.85936737060548,93.58076,89.62849451530244,90.81417332902592
55,0.8898194681877226,0.9189352,0.8690705167195573,0.8840299334981999,91.92023468017578,93.47445,90.81264082741174,91.61118518230992
56,0.9088365300468776,0.9171347,0.8893876936761024,0.8977118200768269,92.93537902832033,93.37834,91.89718624827866,92.34153406244262
57,0.9098642977842316,0.9156817,0.9091833790545613,0.9111328812721833,92.99024200439452,93.30078,92.95389407614513,93.05795989727837
58,0.8824525845478671,0.9147156,0.9097806496665634,0.9112611431153644,91.52698516845705,93.24921,92.98577680811378,93.06480660609974
59,0.8555548266422665,0.91431034,0.8837831761608405,0.892941347988339,90.0911636352539,93.22757,91.59801309935416,92.08688285425514
60,0.8456180234244143,0.9144121,0.8562432923851285,0.8736939469234657,89.56072998046875,93.23301,90.12791442845918,91.05944283475121
61,0.854184040886604,0.91490555,0.8458636183247968,0.8665762032165332,90.01799011230469,93.259346,89.57384001170821,90.67949259064159
62,0.873201102745759,0.9156918,0.8546299063861201,0.8729484902411581,91.03313446044922,93.30132,90.04179073120252,91.01964982448308
63,0.8822812184628873,0.91670114,0.8726404004136307,0.8858586276558744,91.51783752441406,93.3552,91.00320376938521,91.70880218289588
64,0.8857076826174327,0.917922,0.8816231776940432,0.8925128422943079,91.70074462890624,93.420364,91.48271083805797,92.06400891417621
65,0.8971863518275781,0.9193277,0.8852891138886932,0.8955007004923489,92.31348419189452,93.49541,91.67840113113371,92.22350291936286
66,0.9201438331720432,0.9209216,0.8965591006632966,0.9038678694972818,93.53897094726562,93.58049,92.28000107662659,92.6701483784898
67,0.9115775298615049,0.92274314,0.9200280428227238,0.9208425843921816,93.08169555664062,93.67773,93.53278997569642,93.57627078659603
68,0.888448968280409,0.92482275,0.912225528180784,0.9160047059596877,91.84707641601562,93.788734,93.11628616986444,93.3180213796093
69,0.8593238800425967,0.9271319,0.8892392296717438,0.9006070519872617,90.2923583984375,93.911995,91.88926113366087,92.49608361022308
70,0.855726192727246,0.9295688,0.8590925840534679,0.8802354808249611,90.10031127929688,94.04208,90.28001165329613,91.40863458779282
71,0.8745717455772469,0.93204075,0.8566616667465131,0.8792754098980657,91.1063003540039,94.17404,90.15024755076344,91.35738531582464
72,0.8665193975974729,0.9344632,0.8742362808551069,0.8923043694055053,90.67646026611328,94.30335,91.08839300747454,92.05288048243547
73,0.891704066349975,0.9367879,0.8670245165533265,0.8879535385404534,92.02083587646484,94.427444,90.70342387684207,91.82063002255362
74,0.9038680569758645,0.93896854,0.8907175196227156,0.9051928314677582,92.67015838623048,94.543846,91.96817330735847,92.74087579504852
75,0.9131195387779724,0.9410254,0.9021275311466977,0.913796896619583,93.16400909423828,94.65364,92.57724787400919,93.20016693973908
76,0.925112163318882,0.943019,0.9147611634344358,0.9232385122266759,93.80418395996094,94.76006,93.25164019120405,93.70416712609172
77,0.9607477335441749,0.9450168,0.9235207503757629,0.9299695775911437,95.70643615722656,94.86671,93.71923320012557,94.06347620403119
78,0.971026840159463,0.9470835,0.960654225436607,0.9565830176486881,96.25514221191406,94.97703,95.70144462764085,95.48412064738372
79,0.9590343585427276,0.9493153,0.9710949396998229,0.9645610566077013,95.61497497558594,95.09616,96.25877741402991,95.90999406665854
80,0.9569785372196701,0.95173895,0.9600293830624008,0.9575422542207984,95.50523376464844,95.22554,95.66809009530803,95.5353253808974
81,0.9530378318860112,0.9544017,0.9560217241063841,0.9555357144008665,95.2948760986328,95.36768,95.45415839709815,95.42821485180428
82,0.9667438314283682,0.95729375,0.953679237407587,0.9547636087233815,96.0265121459961,95.52206,95.3291147836052,95.38699929913508
83,0.992956410842399,0.9604205,0.9674661045431548,0.9653524438154317,97.4257583618164,95.688965,96.06506760086724,95.95223888118727
84,0.9753099918147322,0.96378386,0.9919022554678315,0.9834667368894632,96.48377990722656,95.86851,97.369486794816,96.919192786629
85,0.9789078220542574,0.9673705,0.9760508299817586,0.97344675189902,96.67583465576172,96.05996,96.52332637784944,96.38431882939649
86,0.9813062326231,0.97115654,0.978794648188238,0.976503220952073,96.80386352539062,96.26207,96.66979335394032,96.5474753310404
87,0.940360028853532,0.9751054,0.9799560794223118,0.9785008949331578,94.61812591552734,96.472855,96.73179138296082,96.65411259532198
88,0.9232275651566296,0.9791279,0.9432788507033091,0.9540335606656561,93.70358276367188,96.687584,94.77393471112295,95.34802881225532
89,0.9131195387779724,0.9830527,0.9229103839400535,0.9409530938865928,93.16400909423828,96.897095,93.68665140373155,94.64978415068758
90,0.9127769495321875,0.98671794,0.9121672748334045,0.9345324741964325,93.14572143554688,97.09274,93.11317656456417,94.30704688463015
91,0.9189444135013604,0.9899764,0.9145697198180326,0.9371917316623108,93.47494506835938,97.266685,93.24142079418996,94.44899994797616
92,0.9641739118503715,0.99272186,0.9177943179291378,0.9402725971239133,95.88932800292967,97.41324,93.41355214506687,94.61345874733763
93,0.9576637157112394,0.99498594,0.9632466494477453,0.9727684539164765,95.54180908203124,97.534096,95.83983007342592,96.34811079850105
94,0.9564644389647311,0.9968203,0.9574215121557647,0.9692411576949789,95.47779083251952,97.63202,95.52888008320578,96.15982120623887
95,0.9444715285754727,0.99831635,0.9574687066052857,0.9697230167848022,94.8376007080078,97.711876,95.5313993566377,96.18554318870173
96,0.9412164305059069,0.9995233,0.9422758762502189,0.9594501039509437,94.6638412475586,97.7763,94.72039521827548,95.63716776249188
97,0.9180650010569239,1.0004996,0.9433278838252576,0.960479406477897,93.4280014038086,97.828415,94.77655213420263,95.69211266673136
98,0.9156095637425378,1.0011554,0.9179988577801933,0.9429458133764331,93.29692840576172,97.86343,93.42447062844286,94.75615694068695
99,0.9050860567892053,1.0014161,0.9162517404754852,0.9418010623594052,92.73517608642578,97.87734,93.3312082585481,94.69504931356897
100,0.8945626927600471,1.0012423,0.9043873035793236,0.9334438024679136,92.17343139648438,97.868065,92.69787614088148,94.24893280999676
101,0.8984212166934858,1.0006009,0.895849028488482,0.9272746061109896,92.37940216064452,97.833824,92.24209691664771,93.91961670108846
102,0.9121017757328181,0.99947536,0.8973953729491145,0.9280193869207797,93.10968017578124,97.77374,92.32464188869028,93.95937363279876
103,0.9324470319436954,0.9978951,0.9120343453175511,0.9377926020364642,94.19572448730467,97.68939,93.10608069204088,94.48107483782017
104,0.9142063341993106,0.99598914,0.9323667783544592,0.9514534880026472,93.2220230102539,97.58765,94.19144049337676,95.21030269025741
105,0.9354287160678355,0.99381846,0.9142621574598296,0.9381290726322353,94.35488891601562,97.47178,93.22500289578147,94.49903587860258
106,0.9398134868110283,0.9915446,0.9350487534319173,0.9519975146532423,94.58895111083984,97.350395,94.33460623905873,95.2393432215278
107,0.9540198638875917,0.989315,0.9385297728864678,0.9537653449477582,95.34729766845705,97.23138,94.52042554444039,95.3337112656162
108,0.9599832321358713,0.9872726,0.9560316598086199,0.9654039598472961,95.6656265258789,97.12235,95.45468877198174,95.95498884377209
109,0.9454258332872397,0.98549175,0.9581810530650839,0.9663742688933767,94.88854217529295,97.02729,95.5694249195738,96.00678463385668
110,0.9570018338600804,0.98404294,0.9465935132829527,0.9578283539761827,95.50647735595705,96.94995,94.95087376767397,95.55059759023419
111,0.9606849898316593,0.9829748,0.9563824599973901,0.9643601821059764,95.70308685302734,96.89294,95.47341473667574,95.89927124224842
112,0.9482321494495202,0.98232484,0.9603661626286392,0.966953777352468,95.03834533691406,96.85824,95.6860676291547,96.03771920941338
113,0.9375332745343278,0.9820963,0.9497829482142416,0.959476981920898,94.46723175048828,96.84604,95.12112808289113,95.63860252773011
114,0.935954819953415,0.9822301,0.9367294795657265,0.9503796975951937,94.38297271728516,96.85318,94.42432460081996,95.15298299117396
115,0.9575277948214854,0.9826759,0.9358789683456111,0.9499180627616666,95.53455352783205,96.876976,94.37892370427095,95.12834059396074
116,0.9587556564028527,0.98336434,0.9576394729752561,0.9653569460965647,95.60009765625,96.91373,95.54051498746503,95.95247921617066
117,0.9515644265732054,0.9842861,0.9587405226381843,0.9664042166100499,95.21622467041016,96.96294,95.59928980508019,96.00838326436784
118,0.959106249402398,0.98541063,0.9519877558532391,0.962014642150017,95.61881256103516,97.022964,95.23882228981178,95.77406464370684
119,0.9771717221090975,0.98668444,0.9578153158278465,0.9664760595098972,96.58316040039062,97.09096,95.54990160456134,96.01221828968744
120,0.9678757908887837,0.98804355,0.9773257557626317,0.9805410930368329,96.0869369506836,97.163506,96.59138282686047,96.76301982764734
121,0.959106249402398,0.98948777,0.9686137625405361,0.9748759639442383,95.61881256103516,97.2406,96.12633040467327,96.46061118942292
122,0.9540198638875917,0.990983,0.9591592445339204,0.9687063858961869,95.34729766845705,97.32041,95.62164147901642,96.13127470556957
123,0.9231513865717303,0.9924797,0.9532062328862388,0.9649882795319028,93.69951629638672,97.40031,95.30386546433341,95.93279953156753
124,0.9228005077238365,0.9938998,0.9246193449433363,0.9454035119727255,93.6807861328125,97.47612,93.77787696299673,94.88735064757748
