date_seen_utc,headline,source,url
20251002T204500Z,Commonwealth Bank shares hit by major outage . What do investors need to know ? ,,https://www.fool.com.au/2025/10/03/commonwealth-bank-shares-hit-by-major-outage-what-do-investors-need-to-know/
20251002T033000Z,Commonwealth Bank services go offline in major outage for bank | Bendigo Advertiser,,https://www.bendigoadvertiser.com.au/story/9079898/commonwealth-bank-services-go-offline-in-major-outage-for-bank/
20250920T013000Z,Why was CommBank down ? Customers impacted by planned outage for maintenance,,https://www.abc.net.au/news/2025-09-20/commonwealth-bank-commbank-app-outage-maintenance-/105797316
20251002T053000Z,Commonwealth Bank major outage disrupts services nationwide | The Land,,https://www.theland.com.au/story/9079949/commonwealth-bank-major-outage-disrupts-services-nationwide/
20250821T030000Z,Commonwealth Bank reverses AI customer service related job cuts | The Advocate,,https://www.theadvocate.com.au/story/9046323/commonwealth-bank-reverses-ai-customer-service-related-job-cuts/
20250729T123000Z,25 Years of Life Savings  Gone  After Mechanic Enters Bank To Buy House – Money Ends Up in Scammer Accounts,,https://dailyhodl.com/2025/07/29/25-years-of-life-savings-gone-after-mechanic-enters-bank-to-buy-house-money-ends-up-in-scammers-accounts/
20250807T070000Z,Martin Currie Naomi Bant is bullish on QBE Insurance ( QBE ASX ) and says CBA is  vulnerable  ,,https://www.afr.com/markets/equity-markets/here-s-one-asx-insurer-that-s-got-much-further-to-run-20250805-p5mker
20250729T001500Z,Australian banks to refund $60m to customers,,https://www.abc.net.au/listen/programs/aca-on-demand/australian-banks-to-refund-60m-to-customers-/105583656
20250904T210000Z,"Australian Woman Fired From Bank After 25 Years , Replaced By AI Chatbot She Trained",,https://article.wn.com/view/2025/09/04/Australian_Woman_Fired_From_Bank_After_25_Years_Replaced_By_/
20250831T070000Z,Australia bank reversal of AI - driven job cuts spurs productivity debate,,https://asia.nikkei.com/business/technology/artificial-intelligence/australia-bank-s-reversal-of-ai-driven-job-cuts-spurs-productivity-debate
20251002T093000Z,Commonwealth Bank services restored after major outage at bank | The Canberra Times,,https://www.canberratimes.com.au/story/9079898/commonwealth-bank-services-restored-after-major-outage-at-bank/
20250729T064500Z,Commonwealth Bank says AI is reason behind dozens of job cuts,,https://www.9news.com.au/national/commonwealth-bank-cuts-customer-service-jobs-after-roll-out-of-artificial-intelligence-chatbot/bcf09d72-a3dc-44d6-a865-f9b2b0681984
20250825T031500Z,Aussie Broadband ( ABB ASX ) sells Buddy Telco to CBA - backed company in bank rewards push,,https://www.afr.com/companies/telecommunications/aussie-broadband-s-buddy-sold-to-cba-backed-telco-in-bank-rewards-push-20250822-p5mp17
20250812T234500Z,Commonwealth Bank CEO makes admission about latest interest rate cut - as bank reports eyewatering profit,,https://www.dailymail.co.uk/news/article-14995017/Australias-biggest-bank-reveals-rate-cuts-WONT-make-life-easier.html
20250818T104500Z,"ASX stock tips : The 7 stocks at risk of a reporting day sell - off like CBA , including Coles and Wesfarmers",,https://www.afr.com/markets/equity-markets/the-7-stocks-at-risk-of-a-reporting-day-sell-off-20250818-p5mnrz
20251007T051500Z,Commonwealth Bank customer baffled by  invasive  questions,,https://www.dailymail.co.uk/news/article-15168623/Commonwealth-Bank-withdraw-invasive-questions.html
20250819T071500Z,CSL ASX : CSL sell - off is a killer blow to active fund managers,,https://www.afr.com/markets/equity-markets/csl-share-plunge-delivers-killer-blow-to-active-fund-managers-20250819-p5mo5c
20250729T053000Z,Customers to get bank refunds after ASIC reveals excessive fees | The Canberra Times,,https://www.canberratimes.com.au/story/9027519/customers-to-get-bank-refunds-after-asic-reveals-excessive-fees/
20250815T100000Z,CommBank Teams Up with OpenAI to Roll Out Advanced AI Tools,,https://www.theepochtimes.com/world/commbank-teams-up-with-openai-to-roll-out-advanced-ai-tools-5901075
20251002T070000Z,Commonwealth Bank services restored after major outage at bank | Illawarra Mercury,,https://www.illawarramercury.com.au/story/9079898/commonwealth-bank-services-restored-after-major-outage-at-bank/
20250820T211500Z,Commonwealth Bank ( CBA ) reverses AI jobs cuts decision as economic roundtable suggests regulation review instead of AI act favoured by unions,,https://www.afr.com/work-and-careers/workplace/cba-u-turns-on-ai-job-cuts-calls-back-humans-20250820-p5moif
20251015T024500Z,Commonwealth Bank ( CBA ASX ) CEO Matt Comyn likely to stay in top job until 2029,,https://www.afr.com/companies/financial-services/comyn-to-stay-as-cba-chief-executive-for-at-least-three-more-years-20251015-p5n2md
20250812T223000Z,"Markets live : ASX to hit record high as Commonwealth Bank posts mega profit , Wall Street climbs to highest levels ever",,https://www.abc.net.au/news/2025-08-13/asx-markets-business-live-news/105645906
